Directorio	Nro_encuesta	Hogarnmero	Personanmero	P5436	P5436s1	P223s1	P223s2	P223s3	P223s4	P223s5	P223s6	P223s7	P223s8	P5438s1	P5438s2	P5438s3	P5438s4	P5440	P5440s1	P224s1	P224s2	P224s3	P224s4	P224s5	P224s6	P224s7	P224s8	P5447	P5447s1	P273s1	P273s2	P273s3	P273s4	P273s5	P273s6	P273s7	P273s8	P5451	P5451s1	P227s1	P227s2	P227s3	P227s4	P227s5	P227s6	P227s7	P227s8	P5454	P5454s1	P228s1	P228s2	P228s3	P228s4	P228s5	P228s6	P228s7	P228s8	P5458	P5458s1a1	P5458s1a2	P5458s1a3	P5458s1a4	P5458s1a5	P5458s1a6	P5458s1a7	P5458s1a8	P5458s1a9	P5459	P5460	P5460s1a1	P5460s1a2	P5460s1a3	P5460s1a4	P5460s1a5	P5460s1a6	P5460s1a7	P5460s1a8	P5460s1a9	P5462	P5463	P5463s1a1	P5463s1a2	P5463s1a3	P5463s1a4	P5463s1a5	P5463s1a6	P5463s1a7	P5464	P5464s1	P5464s2a1	P5464s2a2	P5464s2a3	Fex_c
303915700	209	1	1	2		1	1	1	1	1	2	2	2					2		1	1	2	2	1	1	1	2	2		1	2	1	1	1	1	2	2	2		1	1	1	2	1	2	1	2	2		2	1	1	1	1	1	2	2	2											2											2								2					2330.06251300303
303915800	209	1	1	2		1	1	1	2	1	1	1	2					2		1	1	1	1	2	1	1	2	2		1	1	1	1	2	1	1	2	2		1	1	1	1	1	2	1	2	2		1	1	1	1	1	1	2	2	2											2											2								2					1654.57857038339
303915800	209	1	2	2		1	1	1	2	1	1	1	2					2		1	1	2	1	1	1	1	2	2		1	1	1	1	2	1	1	2	2		1	1	1	1	1	2	1	2	2		1	1	1	1	1	1	2	2	2											2											2								2					1654.57857038339
303915900	209	1	1	2		2	2	1	2	2	2	2	2					2		2	1	2	2	2	2	2	2	2		2	2	2	1	2	2	2	2	2		1	2	2	2	2	2	2	2	2		2	1	1	2	2	1	1	2	2											2											1	1	2	2	2	2	2	2	2					1919.41290408997
303915900	209	1	2	1	1									1	2	2	2	2		2	1	1	2	2	1	2	2	2		2	2	1	1	2	1	1	2	2		2	1	2	2	2	2	2	2	2		2	2	1	1	2	1	1	2	2											2											1	1	2	2	2	2	2	2	1	3	1	1	2	1919.41290408997
303915900	209	1	5	2		1	1	2	2	1	2	2	2					2		2	2	1	2	2	2	2	2	2		2	2	1	2	2	1	1	2	2		1	2	1	2	2	2	2	2	2		2	2	2	2	2	1	2	2	2											2											2								2					1919.41290408997
303916000	209	1	1	2		2	2	1	2	2	2	2	2					2		2	1	2	2	2	2	2	2	2		2	2	2	1	2	2	2	2	2		2	1	2	2	2	2	2	2	2		2	2	2	2	2	1	2	2	2											2											2								2					1479.78294819395
303916000	209	1	2	2		2	2	1	2	1	2	2	2					2		2	1	2	2	2	2	2	2	2		2	2	2	1	2	2	2	2	2		2	1	2	2	1	2	2	2	2		2	2	2	1	2	2	2	2	2											2											2								2					1479.78294819395
303916100	209	1	1	2		2	1	2	2	2	2	2	2					2		2	1	2	2	2	2	2	2	2		1	2	2	2	2	1	2	2	2		2	1	2	2	2	2	2	2	2		2	2	2	1	2	2	2	2	2											2											2								2					1864.6828389252
303916100	209	1	2	2		2	2	2	2	1	2	2	2					2		2	2	2	2	2	1	2	2	2		2	2	1	1	2	2	2	2	2		1	1	2	2	2	2	2	2	2		1	2	2	1	2	2	2	2	2											2											2								2					1864.6828389252
