Directorio	Nro_encuesta	Hogarnmero	Personanmero	P6008	P5345	P6020	P6030s1	P6030s3	P5785	P5465	P5501	P6070	P6160	P6170	P260	P261	Fex_c
303915700	209	1	1			2	6	1983	29	7	1	4	1	2	5	2	2330.06251300303
303915700	209	1	2			2	11	2006	5								2330.06251300303
303915700	209	1	3	3	0	2	6	2007	5								2330.06251300303
303915800	209	1	1			2	12	1926	85	7	1	3	1	2	3	5	1654.57857038339
303915800	209	1	2	2	0	1	10	1916	95	7	2	3	1	2	3	2	1654.57857038339
303915900	209	1	1			2	7	1981	31	6	1	4	1	2	3	5	1919.41290408997
303915900	209	1	2			2	7	1998	14	6	3	6	1	1	4	1	1919.41290408997
303915900	209	1	3			1	11	2000	11								1919.41290408997
303915900	209	1	4			2	7	2002	10								1919.41290408997
303915900	209	1	5			2	2	1952	60	7	5	4	2	2	3	3	1919.41290408997
303915900	209	1	6	6	0	2	10	2000	11								1919.41290408997
303916000	209	1	1			1	4	1957	55	6	1	2	1	1	5	2	1479.78294819395
303916000	209	1	2	2	0	2	6	1959	53	6	2	2	1	2	5	2	1479.78294819395
303916100	209	1	1			2	7	1948	64	6	1	4	2	2	1	1	1864.6828389252
303916100	209	1	2			2	4	1979	33	6	3	4	1	2	3	2	1864.6828389252
303916100	209	1	3			2	8	2000	12	6	4	6	1	1	3	3	1864.6828389252
303916100	209	1	4			2	3	2002	10								1864.6828389252
303916100	209	1	5	5		1	11	2005	6								1864.6828389252
303916200	209	1	1			2	6	1946	66	6	1	5	1	2	3	3	1967.60326896989
303916200	209	1	2			2	5	1969	43	7	3	3	1	2	3	5	1967.60326896989
303916200	209	1	3			1	5	1969	43	6	5	3	1	2	3	5	1967.60326896989
303916200	209	1	4	4	0	1	4	1990	22	1	4	6	1	2	6	2	1967.60326896989
303916300	209	1	1	1		2	4	1992	20	6	1	3	1	2	6	3	1791.82829883609
303916400	209	1	1			1	9	1962	49	6	1	3	1	2	5	2	1933.15397526296
303916400	209	1	2	2	0	2	12	1983	28	7	2	2	1	2	3	3	1933.15397526296
303916500	209	1	1			1	9	1987	24	6	1	2	1	2	5	2	1791.93654178262
303916500	209	1	2			2	4	1986	26	6	2	2	1	2	6	4	1791.93654178262
303916500	209	1	3	3	0	1	4	2005	7								1791.93654178262
303916800	209	1	1			2	5	1929	83	6	1	5	1	2	3	3	2261.38747106596
303916800	209	1	2	2	0	1	8	1956	56	6	3	6	1	2	3	5	2261.38747106596
303916900	209	1	1			1	1	1971	41	6	1	6	1	2	3	1	2036.53857942121
303916900	209	1	2	2	0	2	11	1936	75	6	5	5	2	2	1	1	2036.53857942121
303917000	209	1	1	1		2	8	1949	63	6	1	4	1	2	3	1	1224.79478916586
303917100	209	1	1			2	6	1966	46	6	1	4	1	2	4	3	581.335051546392
303917100	209	1	2			2	9	1993	19	6	3	6	1	1	5	2	581.335051546392
303917100	209	1	3			2	3	1988	24	6	3	1	1	2	5	2	581.335051546392
303917100	209	1	4			1	11	1980	31	6	9	1	1	2	5	2	581.335051546392
303917100	209	1	6			2	3	1956	56	6	5	2	1	2	3	1	581.335051546392
303917100	209	1	7	7	1	1	6	1940	72	6	9	2	1	2	3	1	581.335051546392
303917200	209	1	1			1	9	1959	53	7	1	3	1	2	5	2	788.615689956927
303917200	209	1	2			2	4	1964	48	6	2	3	1	1	5	2	788.615689956927
303917200	209	1	3			2	1	1984	28	6	3	6	1	2	6	2	788.615689956927
303917200	209	1	4			2	3	1987	25	7	3	6	1	2	5	1	788.615689956927
303917200	209	1	5			1	10	1990	21	6	4	6	1	1	5	2	788.615689956927
303917200	209	1	6	6	0	2	4	1934	78	7	5	5	1	2	5	2	788.615689956927
303917300	209	1	1	1		2	7	1958	54	5	1	4	1	2	3	2	818.794898473368
303917400	209	1	1	1		2	12	1910	101	6	1	5	2	2	1	1	1224.79478916586
303917500	209	1	1			1	1	1986	26	7	1	3	1	2	6	6	1116.51815579803
303917500	209	1	2	2		2	2	1984	28	6	2	3	1	2	6	6	1116.51815579803
303917600	209	1	1			1	1	1980	32	6	1	2	1	2	5	2	2325.34020618557
303917600	209	1	2			2	5	1988	24	6	2	2	1	2	4	2	2325.34020618557
303917600	209	1	3			2	7	2006	6								2325.34020618557
303917600	209	1	5	5	1	2	1	1955	57	7	5	5	2	2	3	2	2325.34020618557
303917800	209	1	1			1	1	1978	34	7	1	2	1	2	4	4	1260.03451722459
303917800	209	1	2			2	4	1978	34	6	2	2	1	2	4	4	1260.03451722459
303917800	209	1	3			1	11	1996	15	6	3	6	1	1	4	4	1260.03451722459
303917800	209	1	4			1	1	1998	14	6	3	6	1	1	3	4	1260.03451722459
303917800	209	1	5			2	5	2000	12	6	3	6	1	1	4	1	1260.03451722459
303917800	209	1	6	6	0	1	4	2002	10								1260.03451722459
303917900	209	1	1			1	8	1934	78	1	1	3	1	2	3	3	671.75564109036
303917900	209	1	2	2	0	2	1	1948	64	1	2	3	2	2	1	1	671.75564109036
303918000	209	1	1			2	6	1973	39	1	1	6	1	2	6	4	772.642951178609
303918000	209	1	2			1	9	1990	21	6	3	6	1	1	6	5	772.642951178609
303918000	209	1	3	3	0	2	9	1996	15	6	3	6	1	1	5	1	772.642951178609
303918100	209	1	1			2	12	1951	60	6	1	5	1	2	6	1	565.763701707102
303918100	209	1	2			1	10	1987	24	6	3	6	1	1	6	2	565.763701707102
303918100	209	1	3	3	0	2	3	1930	82	6	5	5	1	2	5	4	565.763701707102
303918300	209	1	1			2	1	1957	55	6	1	2	1	2	4	3	622.340071877812
303918300	209	1	2			1	5	1987	25	6	3	2	1	2	4	2	622.340071877812
303918300	209	1	3	3		2	10	1987	24	6	5	2	1	2	5	1	622.340071877812
303918400	209	1	1			2	3	1975	37	6	1	2	1	1	5	2	1926.30001234808
303918400	209	1	2	2	0	1	6	2001	11								1926.30001234808
303918500	209	1	1			2	11	1982	29	6	1	6	1	2	4	4	2868.92603980357
303918500	209	1	2			1	9	2000	12	6	3	6	1	1	4	1	2868.92603980357
303918500	209	1	3			1	1	2003	9								2868.92603980357
303918500	209	1	4			2	3	2005	7								2868.92603980357
303918500	209	1	5			1	6	1989	23	6	5	2	1	2	4	1	2868.92603980357
303918500	209	1	6			2	11	1986	25	6	5	2	1	2	5	3	2868.92603980357
303918500	209	1	8	8	1	2	9	1994	17	6	5	6	1	1	6	1	2868.92603980357
303918600	209	1	1			2	11	1951	60	8	1	4	1	2	4	1	565.763701707102
303918600	209	1	2			1	6	1973	39	8	3	4	1	2	6	4	565.763701707102
303918600	209	1	3	3	0	2	6	1996	16	99	4	6	1	1	5	1	565.763701707102
303918700	209	1	1			1	5	1952	60	8	1	3	1	2	6	6	565.763701707102
303918700	209	1	2			2	10	1968	43	99	2	3	1	2	6	4	565.763701707102
303918700	209	1	3			1	3	1996	16	99	3	6	1	1	5	1	565.763701707102
303918700	209	1	4			2	11	1998	13	99	3	6	1	1	4	3	565.763701707102
303918700	209	1	5	5	0	2	6	1944	68	8	5	5	1	2	4	4	565.763701707102
303918800	209	1	1			1	8	1983	29	8	1	2	1	2	6	5	1301.94668289307
303918800	209	1	2	2		2	7	1986	26	8	2	2	1	2	5	2	1301.94668289307
303918900	209	1	1			1	4	1945	67	8	1	3	1	2	5	2	622.340071877812
303918900	209	1	2	2	0	2	7	1949	63	6	2	3	1	2	5	2	622.340071877812
303919000	209	1	1			1	4	1963	49	6	1	3	1	2	4	1	1373.73837184069
303919000	209	1	2			2	11	1967	44	99	2	3	1	2	4	1	1373.73837184069
303919000	209	1	3	3	0	1	2	1994	18	6	3	6	1	1	5	2	1373.73837184069
303919100	209	1	1			1	9	1952	59	8	1	2	1	2	3	4	622.340071877812
303919100	209	1	2			2	8	1952	60	8	2	2	1	2	5	2	622.340071877812
303919100	209	1	3	3	0	2	10	1998	13	8	4	6	1	1	4	3	622.340071877812
303919200	209	1	1			2	1	1960	52	99	1	4	1	2	4	3	2111.33093214598
