DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	PERSONA_NUMERO	P6020	P5785	P5465	P5501	P6070	P6160	P6170	P260	P261	FEX_P
366713280	235	1	3	2	26	6	3	2	1	1	6	4	807.928095420799
366713280	235	1	4	1	20	99	3	6	1	2	5	2	807.928095420799
366784200	235	1	4	2	19	6	3	6	1	1	6	2	1668.62320638798
366784200	235	1	5	1	19	6	3	6	1	1	6	0	1668.62320638798
366784200	235	1	6	1	9								1668.62320638798
367098000	235	1	5	2	24	7	4	6	1	2	5	2	1905.94649809437
367098000	235	1	6	2	3								1905.94649809437
367131480	235	1	2	1	22	6	3	6	1	1	3	5	1380.83961246639
367131480	235	1	3	1	13	6	3	6	1	1	3	5	1380.83961246639
367131480	235	1	4	1	8								1380.83961246639
367131480	235	1	5	2	3								1380.83961246639
367355400	235	1	3	1	19	6	3	6	1	2	6	1	881.756046332931
367355400	235	1	4	2	15	7	3	6	1	1	4	4	881.756046332931
367355400	235	1	5	1	8								881.756046332931
367334280	235	1	2	1	44	7	3	6	1	2	3	2	932.655063311155
367334280	235	1	3	1	33	6	4	6	1	2	3	4	932.655063311155
367334280	235	1	4	2	28	6	4	2	1	2	4	4	932.655063311155
367334280	235	1	5	1	34	6	5	2	1	2	4	1	932.655063311155
367334280	235	1	6	2	9								932.655063311155
367334280	235	1	7	2	25	6	4	5	1	2	5	2	932.655063311155
367334280	235	1	8	1	9								932.655063311155
367017120	235	1	5	2	7								622.517404252139
367017120	235	1	6	2	27	6	9	6	1	1	4	2	622.517404252139
367289520	235	1	4	2	17	6	3	6	1	1	4	4	1647.06722568448
367289520	235	1	5	1	14	6	3	6	1	1	4	2	1647.06722568448
367342080	235	2	5	2	5								2203.15411948471
367019520	235	1	2	2	51	6	2	3	1	1	5	1	195.483815564219
367019520	235	1	3	1	20	7	3	6	1	1	6	1	195.483815564219
367019520	235	1	4	2	8								195.483815564219
367004640	235	1	1	1	53	1	1	2	1	2	5	2	922.859659773643
367004640	235	1	2	2	36	1	2	2	1	2	3	3	922.859659773643
367004640	235	1	3	1	14	6	3	6	1	1	4	2	922.859659773643
367004640	235	1	4	2	10								922.859659773643
367617360	235	1	1	2	31	6	1	6	1	2	5	2	167.003626986384
367617360	235	1	2	2	14	6	3	6	1	1	4	4	167.003626986384
367617360	235	1	3	1	1								167.003626986384
366636360	235	1	3	2	20	6	5	6	1	2	5	1	840.255813752077
366636360	235	1	4	2	4								840.255813752077
366636360	235	1	5	2	2								840.255813752077
366658800	235	1	1	1	81	7	1	3	1	2	4	2	158.420509451941
366658800	235	1	2	2	76	7	2	3	1	2	3	3	158.420509451941
366658800	235	1	3	1	56	7	3	4	1	2	3	5	158.420509451941
366658800	235	1	4	1	50	7	3	4	1	2	3	4	158.420509451941
366652680	235	1	1	1	49	7	1	3	1	1	6	3	1865.7026368496
366652680	235	1	2	2	51	6	2	3	1	2	5	2	1865.7026368496
366652680	235	1	3	2	22	7	3	6	1	2	6	5	1865.7026368496
366652680	235	1	4	1	20	7	3	6	1	1	6	4	1865.7026368496
366652680	235	1	5	1	12	7	3	6	1	1	4	1	1865.7026368496
366624240	235	1	1	2	22	6	1	2	1	2	4	2	1536.76921694339
366624240	235	1	2	1	7								1536.76921694339
366624240	235	1	3	1	3								1536.76921694339
366624240	235	1	4	2	20	7	9	2	1	2	4	3	1536.76921694339
366624240	235	1	5	1	1								1536.76921694339
366624240	235	1	6	1	14	6	9	6	1	1	4	1	1536.76921694339
366630120	235	1	1	2	41	7	1	3	1	2	5	2	737.272069707241
366630120	235	1	2	1	17	7	3	6	1	1	5	1	737.272069707241
366664560	235	1	1	2	56	7	1	2	1	2	3	3	138.431501618774
366664560	235	1	2	1	64	7	2	2	1	2	3	4	138.431501618774
366664560	235	1	3	2	27	7	3	6	1	2	5	2	138.431501618774
366664560	235	1	4	2	31	6	3	1	1	2	5	3	138.431501618774
366664560	235	1	5	1	29	6	9	1	1	2	5	2	138.431501618774
366664560	235	1	6	1	13	6	4	6	1	1	4	2	138.431501618774
366664560	235	1	7	2	10								138.431501618774
366664560	235	1	8	1	3								138.431501618774
366615960	235	1	1	1	47	6	1	3	1	2	6	5	1600.48021785273
366615960	235	1	2	2	44	6	2	3	1	2	6	2	1600.48021785273
366615960	235	1	3	1	22	7	3	6	1	1	6	3	1600.48021785273
366649800	235	1	1	1	21	7	1	6	1	2	6	1	1303.206880353
366665520	235	1	1	1	35	6	1	2	1	1	7	2	228.662990405443
366665520	235	1	2	2	37	6	2	2	1	2	6	5	228.662990405443
366665520	235	1	3	1	8								228.662990405443
366665520	235	1	4	2	5								228.662990405443
366665520	235	1	5	1	3								228.662990405443
366615480	235	1	1	2	70	7	1	4	1	2	3	5	1351.70963711168
366615480	235	1	2	1	29	6	3	6	1	2	6	5	1351.70963711168
366615480	235	1	3	2	13	6	3	6	1	1	3	4	1351.70963711168
366643440	235	1	1	1	45	6	1	3	1	2	3	4	1800.52210974557
366643440	235	1	2	2	47	6	2	3	1	2	4	3	1800.52210974557
366643440	235	1	3	2	13	7	3	6	1	1	4	2	1800.52210974557
366636120	235	1	1	1	51	7	1	6	1	2	3	5	771.027148544987
366619920	235	1	1	1	38	6	1	3	1	2	5	2	1066.66434524427
366619920	235	1	2	2	36	6	2	3	1	2	5	2	1066.66434524427
366619920	235	1	3	1	15	6	3	6	1	1	4	4	1066.66434524427
366619920	235	1	4	2	8								1066.66434524427
366619920	235	1	5	2	3								1066.66434524427
366626400	235	1	1	1	57	1	1	2	1	1	6	3	1359.84592395258
366626400	235	1	2	2	55	6	2	2	1	1	6	4	1359.84592395258
366622440	235	1	1	2	69	7	1	5	1	2	3	5	1482.88464753032
366622440	235	1	2	1	42	7	3	6	1	2	5	2	1482.88464753032
366622440	235	1	3	2	41	7	3	6	1	2	5	2	1482.88464753032
366622440	235	1	4	1	21	7	4	6	1	2	5	2	1482.88464753032
366622440	235	1	5	1	15	7	4	6	1	2	4	1	1482.88464753032
366646080	235	1	1	1	33	1	1	2	2	2	1	1	1166.46173248963
366646080	235	1	2	2	44	1	2	2	2	2	1	1	1166.46173248963
366646080	235	1	3	2	11								1166.46173248963
366646080	235	1	4	2	3								1166.46173248963
366632760	235	1	1	1	61	7	1	3	1	2	3	5	443.428307508543
366632760	235	1	2	2	55	5	2	3	1	2	4	4	443.428307508543
366632760	235	1	3	2	28	6	3	6	1	2	6	1	443.428307508543
366619560	235	1	1	1	50	99	1	2	1	2	6	3	2360.46109871833
366627120	235	1	1	2	39	6	1	2	1	2	6	2	1928.45833905273
366627120	235	1	2	1	19	6	3	6	1	2	5	2	1928.45833905273
366627120	235	1	3	2	5								1928.45833905273
366627120	235	1	4	1	19	6	5	6	1	1	6	1	1928.45833905273
366621600	235	1	1	2	56	6	1	6	1	2	3	3	1563.25596871653
366621600	235	1	2	2	87	7	5	6	2	2	1	1	1563.25596871653
366668520	235	1	1	1	40	6	1	2	1	2	3	5	1358.44349442952
366668520	235	1	2	2	36	6	2	2	1	2	4	1	1358.44349442952
366666960	235	1	1	2	57	6	1	2	1	2	4	3	100.600182882048
366666960	235	1	2	1	57	6	2	2	1	2	3	5	100.600182882048
366666960	235	1	3	2	30	6	3	4	1	2	6	2	100.600182882048
366666960	235	1	4	2	3								100.600182882048
366664080	235	1	1	2	72	7	1	4	1	2	3	1	111.204171580252
366634320	235	1	1	1	35	7	1	3	1	2	6	3	853.258327791511
366634320	235	1	2	2	31	7	2	3	1	2	6	1	853.258327791511
366634320	235	1	3	1	13	7	3	6	1	1	4	2	853.258327791511
366634320	235	1	4	2	9								853.258327791511
366633000	235	1	1	1	42	6	1	2	1	2	5	2	823.919728095742
366633000	235	1	2	2	47	6	2	2	1	2	3	3	823.919728095742
366633000	235	1	3	2	23	6	3	6	1	2	5	1	823.919728095742
366633000	235	1	4	1	22	6	3	6	1	2	4	1	823.919728095742
366633000	235	1	5	1	15	6	3	6	1	1	4	2	823.919728095742
366633000	235	1	6	1	6								823.919728095742
366642120	235	1	1	2	69	6	1	4	1	2	5	2	2411.91732548732
366642120	235	1	2	1	31	6	3	6	1	2	5	2	2411.91732548732
366616320	235	1	1	1	85	6	1	5	1	2	1	1	1351.70963711168
366616320	235	1	2	2	53	6	3	6	1	2	3	5	1351.70963711168
366616320	235	1	3	2	21	6	4	6	1	2	5	2	1351.70963711168
366616320	235	1	4	2	3								1351.70963711168
366653520	235	1	1	1	58	6	1	3	1	2	6	1	146.765073624905
366653520	235	1	2	2	55	6	2	3	1	2	7	3	146.765073624905
366653400	235	1	1	2	61	7	1	5	1	2	4	3	1244.84475348331
366653400	235	1	2	2	33	7	3	6	1	2	5	2	1244.84475348331
366653400	235	1	3	2	6								1244.84475348331
366653400	235	1	4	1	21	7	3	2	1	2	5	2	1244.84475348331
366653400	235	1	5	2	18	7	9	2	1	2	5	2	1244.84475348331
366665880	235	1	1	1	28	7	1	2	1	2	5	2	169.194767228731
366665880	235	1	2	2	40	7	2	2	1	2	6	2	169.194767228731
366636600	235	1	1	1	44	6	1	2	1	2	5	2	712.796468802548
366636600	235	1	2	2	45	6	2	2	1	2	5	2	712.796468802548
366636600	235	1	3	2	25	6	3	6	1	2	6	5	712.796468802548
366636600	235	1	4	1	17	6	3	6	1	1	5	1	712.796468802548
366652920	235	1	1	1	70	7	1	3	1	2	3	1	140.983299841241
366652920	235	1	2	2	70	7	2	3	1	2	3	1	140.983299841241
366652920	235	1	3	1	26	7	4	1	1	2	5	2	140.983299841241
366652920	235	1	4	2	14	7	9	1	1	2	4	2	140.983299841241
366625080	235	1	1	1	51	1	1	3	1	2	4	3	1536.76921694339
366625080	235	1	2	2	46	1	2	3	1	2	4	2	1536.76921694339
366625080	235	1	3	1	10								1536.76921694339
366625080	235	1	4	2	23	6	3	2	1	2	4	4	1536.76921694339
366625080	235	1	5	2	0								1536.76921694339
366627600	235	1	1	2	71	7	1	4	1	2	4	4	1415.47085598262
366627600	235	1	2	2	43	6	3	6	1	2	6	6	1415.47085598262
366651000	235	1	1	2	24	7	1	3	1	1	6	1	1077.76975214505
366651000	235	1	2	1	5								1077.76975214505
366633360	235	1	1	1	33	6	1	3	1	2	6	5	737.272069707241
366633360	235	1	2	2	29	6	2	3	1	2	6	4	737.272069707241
366632520	235	1	1	1	63	6	1	5	1	2	3	5	595.580328712974
366657000	235	1	1	2	63	7	1	2	1	2	3	5	177.558755630794
366657000	235	1	2	1	66	6	2	2	1	2	3	0	177.558755630794
366657000	235	1	3	1	33	7	3	6	1	2	7	6	177.558755630794
366657000	235	1	4	1	26	7	3	6	1	2	6	3	177.558755630794
366624840	235	1	1	2	62	6	1	2	1	2	3	3	695.430117392374
366624840	235	1	2	1	56	6	2	2	1	2	3	5	695.430117392374
366624840	235	1	3	2	27	5	3	6	1	1	6	0	695.430117392374
366668760	235	1	1	1	40	6	1	2	1	2	5	2	752.139511617515
366668760	235	1	2	2	40	7	2	2	1	2	4	4	752.139511617515
366668760	235	1	3	2	16	7	3	6	1	1	6	0	752.139511617515
366668760	235	1	4	2	12	7	3	6	1	1	4	0	752.139511617515
366668760	235	1	5	1	64	6	9	5	1	2	3	2	752.139511617515
366659520	235	1	1	1	73	6	1	3	1	2	3	5	176.234199141868
366645720	235	1	1	2	69	6	1	2	2	2	1	1	593.770518051629
366645720	235	1	2	1	64	6	2	2	2	2	1	1	593.770518051629
366667920	235	1	1	1	52	6	1	3	1	2	3	5	163.926536172487
366667920	235	1	2	2	56	6	2	3	1	2	3	5	163.926536172487
366667920	235	1	3	2	19	6	3	4	1	2	5	2	163.926536172487
366667920	235	1	4	1	16	7	3	6	1	1	5	1	163.926536172487
366667920	235	1	5	2	0								163.926536172487
366641520	235	1	1	2	63	6	1	4	1	2	6	2	610.479493603602
366623400	235	1	1	2	26	6	1	2	1	2	3	3	1249.67040881181
366623400	235	1	2	2	7								1249.67040881181
366627240	235	1	1	2	57	1	1	5	1	2	4	2	1415.47085598262
366627240	235	1	2	2	12	1	4	6	1	1	4	1	1415.47085598262
366616440	235	1	1	2	58	7	1	6	1	2	3	5	1143.19935412342
366616440	235	2	1	1	70	7	1	4	1	2	3	2	1143.19935412342
366645840	235	1	1	1	55	6	1	2	1	2	3	5	944.143501988806
366645840	235	1	2	2	42	6	2	2	1	2	4	4	944.143501988806
366645840	235	1	3	1	17	6	3	6	1	1	4	4	944.143501988806
366645840	235	1	4	1	17	6	3	6	1	1	4	4	944.143501988806
366645840	235	1	5	1	13	6	3	6	1	1	3	5	944.143501988806
366657120	235	1	1	2	39	7	1	1	1	2	3	3	249.001794596799
366657120	235	1	2	1	9								249.001794596799
366624120	235	1	1	2	24	7	1	1	1	2	5	2	1244.02637447985
366664200	235	1	1	1	38	7	1	3	1	1	6	3	262.510655955302
