DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	PERSONA_NUMERO	P271	P262	P5475	P254	P254S1	P254S2	P5470	P5470S1	P5471	P5471S1	P5472	P5472S1	P5473	P5473S1	P5474S1	P5474S2	P5474S3	P5474S4	P5474S5	P5474S6	P5474S7	P5474S8	P5474S9	P5476	P5476S1	P5477	P5477S1	P5478	P5478S1	P5479	P5479S1	P5480	P5480S1	P5481	P5481S1	P5482	P5482S1	P5483	P5483S1	P5484	P5484S1	FEX_P
367352160	235	1	3	6	3	1	1	3	1	1	4	2		1	4	2		2	2	2	2	2	2	2	2	2	2		1	3	2		2		2		1	1	1	3	1	1	2		636.661055723017
367334160	235	1	6	6	4	2	1	2	2	2		2		2		2		2	2	2	2	1	2	2	2	2	1	2	1	3	1	3	2		1	1	1	1	2		2		1	1	725.89855977307
367311480	235	1	2	7	3	1	1	3	4	1	3	1	3	1	5	2		2	1	2	1	1	2	1	1	1	1	1	1	3	1	2	1	2	1	2	1	1	2		1	3	1	3	1772.65750445971
367327680	235	1	4	5	4	2	1	3	0	1	2	1	3	1	3	2		2	2	2	2	2	2	2	2	2	2		2		2		2		1	1	1	1	1	2	1	2	1	1	596.900480156231
367330440	235	1	3	7	4	1	1	3	2	2		2		2		2		2	2	2	1	1	1	2	2	1	2		1	1	2		2		1	2	1	1	1	2	2		1	2	633.682849848207
367330440	235	1	4	7	4	1	1	3	1	2		2		2		1	5	2	2	2	1	1	1	2	2	1	1	1	1	1	1	3	2		1	3	1	1	1	1	2		2		633.682849848207
367342080	235	2	4	6	3	1	1	3	4	2		2		2		2		1	2	2	2	2	2	2	2	2	2		2		2		2		2		1	2	2		2		2		2203.15411948471
367342080	235	2	5	6	3	1	1	3	0	2		2		2		2		1	2	2	2	2	2	2	2	2	2		2		2		2		2		1	2	2		2		2		2203.15411948471
367389120	235	1	5	6	4	1	1	3	1	1	3	1	2	1	3	1	4	1	2	2	1	1	1	1	1	1	1	2	1	4	1	3	1	2	1	1	1	1	2		2		1	1	114.558479956316
367014120	235	1	3	5	3	1	1	3	3	1	4	2		2		1	5	2	2	2	2	2	2	2	2	2	2		1	2	2		1	5	1	1	1	1	1	2	2		1	3	860.842777846933
367014120	235	1	4	5	3	2	2	1	1	2		2		2		2		2	2	2	2	2	2	2	2	2	2		2		2		2		2		1	1	2		2		2		860.842777846933
366992280	235	1	4	7	3	1	1	4	0	2		1	2	2		1	3	2	2	2	1	2	2	1	1	1	1	3	1	3	1	4	1	3	1	2	1	1	1	2	1	2	1	1	2193.86797181398
367039080	235	1	4	6	3	1	1	3	3	2		2		2		2		2	2	2	2	2	2	2	2	2	2		2		2		2		2		1	2	2		2		2		174.647098510279
367019520	235	1	4	5	4	1	1	3	1	2		1	5	1	5	1	5	2	2	2	1	2	2	2	2	1	1	6	1	5	2		1	5	1	3	1	2	1	3	1	3	1	2	195.483815564219
367035840	235	1	4	1	3	1	1	3	4	2		2		2		2		2	2	2	2	2	2	2	2	2	2		2		2		2		2		1	2	2		2		2		196.670412081296
367035840	235	1	5	1	3	1	1	3	3	2		2		2		2		2	2	2	2	2	2	2	2	2	2		2		2		2		2		1	3	2		2		2		196.670412081296
367004640	235	1	4	1	3	1	1	3	4	2		1	3	2		1	3	2	2	1	1	2	2	2	1	1	1	2	2		2		2		1	2	1	2	2		1	2	2		922.859659773643
366980880	235	1	5	6	4	1	1	3	0	2		2		2		2		2	2	2	2	1	2	2	2	2	2		2		2		1	5	2		1	1	1	4	2		2		1182.10922825099
366985080	235	1	3	6	4	1	1	3	2	2		1	3	2		1	5	2	2	2	2	2	2	1	2	2	1	2	2		2		2		2		1	2	2		2		2		1668.9205984958
367001160	235	1	3	6	3	2	1	3	0	2		2		2		2		2	2	2	2	2	2	2	2	2	2		2		2		2		2		1	2	2		2		2		1940.23135933576
367032600	235	1	3	6	3	1	1	3	3	1	1	2		1	5	2		2	2	2	1	2	2	1	2	2	1	1	1	1	1	2	2		1	3	1	1	1	2	2		1	1	185.635685674737
367035960	235	1	7	1	4	2	1	3	1	2		2		2		2		1	2	2	2	2	2	2	2	2	2		2		2		2		2		2		2		2		1	2	147.99480795367
367035960	235	1	9	6	4	2	1	2	3	2		2		2		2		2	2	2	2	2	2	2	2	2	2		2		2		2		1	3	2		2		2		1	3	147.99480795367
367280520	235	1	3	6	3	1	1	4	3	2		2		2		2		2	2	1	2	1	2	1	2	2	1	3	2		2		2		1	3	1	1	1	4	2		1	1	839.323686752108
367280520	235	1	4	6	3	1	1	3	5	2		2		2		2		2	2	2	2	1	2	1	2	2	1	4	2		2		2		1	3	1	1	1	3	2		1	2	839.323686752108
367311960	235	1	4	6	3	1	1	3	0	2		2		2		2		2	2	2	2	2	2	2	2	2	1	3	2		2		2		2		1	1	2		2		2		182.301742516627
367287120	235	1	3	7	4	1	1	3	4	2		2		2		2		2	2	2	2	1	2	2	2	1	1	5	2		2		1	2	2		1	2	2		1	2	2		1693.22441380379
367308840	235	1	5	6	5	2	1	2	3	2		2		2		2		2	2	2	1	1	2	2	2	2	2		2		2		2		1	2	1	1	1	1	2		2		1567.09613871051
367294440	235	1	4	7	4	1	1	3	0	1	5	1	5	1	4	2		2	1	2	1	1	2	2	2	1	1	1	2		2		1	3	2		1	1	2		2		2		1740.40971632355
367286280	235	1	4	6	3	1	1	3	1	2		1	2	2		2		2	2	2	2	1	2	2	2	2	1	2	2		2		2		1	2	1	1	1	2	1	3	1	2	1740.40971632355
367317480	235	1	4	6	3	1	1	3	0	2		2		2		2		2	2	2	2	2	2	2	2	2	2		2		2		2		1	3	1	1	2		1	2	2		1120.89955654722
367377000	235	1	3	6	3	1	1	3	2	1	4	2		2		2		2	2	2	2	2	2	2	1	2	2		1	2	2		2		1	2	1	1	1	1	2		2		1333.70423947306
367377000	235	1	4	6	3	2	1	2	2	1	1	2		2		2		2	2	2	2	2	2	2	1	2	2		2		2		2		2		1	1	2		2		1	1	1333.70423947306
367306800	235	1	7	7	5	1	1	3	2	1	5	2		1	5	1	5	2	2	2	2	1	2	1	1	1	1	2	2		2		1	4	1	3	1	3	1	3	2		1	3	1886.65075288755
367306800	235	1	8	7	5	1	1	3	2	1	5	2		1	5	2		2	2	2	2	1	2	1	1	1	1	2	2		2		1	4	1	3	1	3	1	3	2		1	3	1886.65075288755
367271760	235	1	4	6	3	1	1	3	5	2		2		2		2		2	2	1	2	2	2	2	2	2	1	2	2		1	1	1	4	1	2	1	1	1	2	2		2		1459.63764199961
367387200	235	1	2	6	3	2	1	2	3	2		2		2		2		2	2	2	1	1	2	2	2	2	2		2		2		2		2		1	3	1	1	2		2		205.052242195078
367379880	235	1	6	5	3	1	1	3	4	2		2		2		2		1	2	1	2	2	2	1	1	2	2		2		1	3	2		1	3	1	1	1	3	2		1	3	1826.88084201931
367316760	235	1	4	6	3	1	1	3	0	2		2		2		2		2	2	2	2	2	2	2	1	2	2		2		2		1	3	1	3	1	1	1	2	2		1	2	969.830797448649
367392240	235	1	4	7	3	1	1	3	0	2		2		2		1	3	2	2	2	1	1	2	2	1	1	2		2		2		1	3	1	2	1	1	1	1	2		2		256.732369373817
367330200	235	1	4	6	3	1	1	3	3	2		2		2		1	3	2	2	2	2	2	2	2	2	2	1	6	2		1	3	2		2		1	1	1	3	1	2	2		720.476027463002
367330200	235	1	5	6	3	1	1	3	2	2		2		2		2		2	2	2	2	2	2	2	2	2	2		1	4	1	3	2		2		1	1	2		1	1	2		720.476027463002
367297440	235	1	6	7	4	1	1	3	1	2		2		2		2		2	2	2	1	1	2	2	1	2	1	2	2		2		1	1	1	2	1	1	1	3	2		1	2	1744.15520514444
367346640	235	1	2	99	3	2	1	2	3	2		2		2		2		2	2	2	2	2	2	2	2	2	2		2		2		2		2		1	1	2		2		2		1117.70453995784
367382040	235	1	4	6	3	1	1	3	3	1	5	1	5	2		2		2	1	2	2	2	2	1	1	2	2		2		2		2		1	2	1	2	1	2	1	2	1	2	1277.14962875562
367393200	235	1	3	7	3	1	1	3	0	2		2		2		2		2	2	2	1	2	2	2	2	2	2		2		2		1	4	1	1	1	1	2		2		1	3	246.74430251791
367364520	235	1	2	5	3	1	1	4	0	2		2		2		2		2	2	2	2	2	2	1	1	1	1	1	2		1	2	2		1	2	1	1	1	2	1	2	1	2	1365.73786380213
367346880	235	1	3	6	3	1	1	4	1	2		2		2		2		2	2	2	1	2	2	2	2	2	1	1	2		2		2		2		1	1	2		2		1	2	967.070754771967
367346880	235	1	4	6	3	1	1	4	0	2		2		2		2		2	2	2	1	2	2	2	2	2	1	1	2		2		2		1	2	1	1	2		2		2		967.070754771967
367336440	235	1	4	5	4	1	1	3	2	1	3	2		2		1	4	1	2	2	2	2	2	2	1	1	1	3	1	3	2		2		1	2	1	1	1	2	1	2	1	2	546.481240654914
367388040	235	1	4	7	3	1	1	3	2	1	5	2		2		1	4	2	2	2	2	2	2	2	1	2	2		2		2		1	3	1	3	1	1	1	3	2		2		212.888380666166
