DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	P6008	P5345	P258	P259	P6007	P1700S1	P1700S2	P1700S3	P1700S4	FEX_P
3064380	234	1	2	0	0	2	2					3815.3159500718
3064381	234	1	2	0	0	2	2					2906.10517617181
3064382	234	1	1	0	0	1						3135.23756838968
3064383	234	1	3	1	1	1	2	3	7	7	1	4279.78982175032
3064384	234	1	3	0	0	3	2					2543.1526669636
3064386	234	1	3	0	0	3	2					2231.4088028486
3064387	234	1	2	0	0	2	2					2894.0816065305
3064389	234	1	2	0	0	2	2					3660.12283263211
3064390	234	1	3	0	0	3	2					3286.46326338025
3064391	234	1	2	0	0	2	2					3515.59565559812
3064392	234	1	6	0	1	5	2					4065.51727919728
3064392	234	2	4	0	0	4	2					4065.51727919728
3064392	234	3	3	1	0	2	2	1	1	1	1	4065.51727919728
3064396	234	1	4	1	1	2	2	7	3	7	1	6196.45966821128
3064397	234	1	1	0	0	1						3279.76474542368
3064398	234	1	3	0	0	3	2					794.988631339761
3064399	234	1	2	0	0	2	2					653.134179127109
3064400	234	1	4	1	1	2	2	2	6	5	1	712.055016972365
3064401	234	1	2	1	0	1	2	6	4	4	2	764.4595183584
3064402	234	1	5	0	0	5	2					710.942796190069
3064403	234	1	6	1	2	3	2	2	7	4	1	701.976400988597
3064404	234	1	3	0	0	3	2					874.487494473738
3064405	234	1	2	0	0	2	2					450.024268216491
3064406	234	1	2	0	1	1	2					753.607028654183
3064407	234	1	4	0	2	2	2					592.523719630453
3064408	234	1	1	0	0	1						482.839262087881
3064409	234	1	2	0	1	1	2					597.185951637867
3064410	234	1	2	0	0	2	2					409.112971105901
3064411	234	1	3	0	1	2	2					767.480868677095
3064412	234	1	5	0	2	3	2					808.710261813482
3064413	234	1	4	1	0	3	2	1	6	6	1	569.264667015819
3064414	234	1	6	0	2	4	2					955.23171203667
3064415	234	1	1	0	0	1						482.839262087881
3064416	234	1	1	0	0	1						482.839262087881
3064417	234	1	3	0	0	3	2					491.496541006465
3064418	234	1	3	0	0	3	2					491.496541006465
3064419	234	1	1	0	0	1						597.354313093164
3064420	234	1	1	0	0	1						597.354313093164
3064421	234	1	5	0	1	4	2					606.449029544848
3064422	234	1	2	0	0	2	2					497.024318244564
3064423	234	1	5	0	0	5	2					894.820165977568
3064424	234	1	2	0	0	2	2					718.44759703982
3064425	234	1	2	0	0	2	2					581.600460816868
3064426	234	1	5	0	1	4	2					1528.88071062703
3064427	234	1	4	2	0	2	2	2	7	7	1	1374.43744730336
3064428	234	1	9	1	4	4	2	1	4	5	1	1099.53294874865
3064429	234	1	5	0	1	4	2					1172.73898709448
3064430	234	1	4	0	2	2	2					1576.76950066908
3064431	234	1	2	0	0	2	2					1054.39100524158
3064432	234	1	4	1	2	1	2	1	1	1	1	1637.03168555925
3064432	234	2	3	1	0	2	2	1	7	7	1	1637.03168555925
3064432	234	3	3	0	0	3	2					1637.03168555925
3064433	234	1	1	0	0	1						1229.17571549609
3064434	234	1	5	0	1	4	2					1528.88071062703
3064435	234	1	2	0	0	2	2					1054.39100524158
3064436	234	1	1	0	0	1						1229.17571549609
3064437	234	1	6	0	0	6	2					1515.19131054464
3064438	234	1	4	0	1	3	2					1035.98134958295
3064439	234	1	5	0	0	5	2					1130.96493286456
3064440	234	1	5	0	1	4	2					871.755138747531
3064441	234	1	5	0	1	4	2					1661.1945845316
3064442	234	1	3	0	0	3	2					1043.00447850279
3064443	234	1	2	0	1	1	2					1151.32293465711
3064444	234	1	3	1	0	2	2	1	2	2	1	1431.35719296526
3064445	234	1	3	0	2	1	2					1395.41248739103
3064446	234	1	5	1	1	3	2	7	1	1	1	1324.80334164674
3064447	234	1	1	0	0	1						1334.20475737488
3064448	234	1	3	0	1	2	2					2026.6531705271
3064449	234	1	3	0	0	3	2					1593.34735429251
3064450	234	1	2	0	0	2	2					1150.79031214529
3064451	234	1	1	0	0	1						1285.65396556359
3064452	234	1	3	0	0	3	2					2185.02870159039
3064452	234	2	4	1	1	2	2	2	2	2	2	2185.02870159039
3064452	234	3	5	0	3	2	2					2185.02870159039
3064453	234	1	5	0	2	3	2					2093.71832054447
3064454	234	1	5	1	2	2	2	1	5	2	1	1849.92427632914
3064456	234	1	4	1	1	2	2	2	1	1	1	1702.01606914352
3064457	234	1	5	1	1	3	2	1	1	1	1	2206.33928237998
3064458	234	1	3	0	0	3	2					1261.00710385962
3064459	234	1	1	0	0	1						1412.31278269681
3064460	234	1	5	0	2	3	2					2133.11733237743
3064461	234	1	2	0	0	2	2					1522.52957441114
3064462	234	1	4	0	0	4	2					1664.16513417388
3064463	234	1	1	0	0	1						1529.83642127404
3064464	234	1	3	0	0	3	2					832.35003734617
3064465	234	1	3	0	0	3	2					1261.00710385962
3064466	234	1	4	0	0	4	2					2006.88582010608
3064467	234	1	2	0	0	2	2					1522.52957441114
3064468	234	1	5	0	0	5	2					832.35003734617
3064469	234	1	5	0	0	5	2					1926.04276293783
3064470	234	1	2	0	0	2	2					1547.53159432754
3064471	234	1	2	0	0	2	2					1522.52957441114
3064472	234	1	4	0	1	3	2					1221.12049353599
3064473	234	1	6	1	1	4	2	1	1	3	7	1522.75281851805
3064474	234	1	4	3	0	1	2	1	1	1	6	872.139534504743
3064475	234	1	3	0	0	3	2					1379.07503895952
3064476	234	1	2	0	0	2	2					1486.32418938922
3064477	234	1	4	0	0	4	2					1997.62467357494
3064478	234	1	2	0	0	2	2					1362.67728829218
3064479	234	1	6	0	2	4	2					1888.47182289388
3064480	234	1	2	0	0	2	2					1008.69584198909
3064481	234	1	7	1	1	5	2	1	7	7	1	1891.43644662847
3064482	234	1	9	3	2	4	2	1	1	4	1	1203.19883769122
3064483	234	1	5	0	1	4	2					2007.13508256629
3064484	234	1	5	0	1	4	2					1864.0776060815
3064485	234	1	4	1	1	2	2	1	1	1	1	1661.54253868966
3064486	234	1	4	0	1	3	2					1799.69407244402
3064487	234	1	6	0	1	5	2					1685.3118302025
3064488	234	1	2	0	0	2	2					1486.32418938922
3064489	234	1	6	0	2	4	2					2351.21636247297
3064490	234	1	2	0	0	2	2					1123.42479686666
3064491	234	1	3	0	0	3	2					1555.45793959386
3064492	234	1	4	0	2	2	2					2074.64160214606
3064493	234	1	4	2	0	2	2	1	1	1	1	1621.95890240591
3064494	234	1	6	0	0	6	2					1504.85350710025
3064495	234	1	2	0	0	2	2					1123.42479686666
3064496	234	1	4	0	1	3	2					1899.53921950054
3064497	234	1	4	0	1	3	2					1799.69407244402
3064498	234	1	3	0	0	3	2					1231.0206599324
3064499	234	1	4	1	1	2	2	1	4	1	1	1661.54253868966
3064500	234	1	1	0	0	1						1732.70977262656
3064501	234	1	3	0	0	3	2					1593.92005245496
3064502	234	1	8	2	1	5	2	1	1	1	1	812.556954780411
3064503	234	1	4	0	2	2	2					1620.81500878644
3064504	234	1	3	1	0	2	2	1	4	3	1	1317.46125878297
3064505	234	1	5	1	0	4	2	7	3	1	4	1878.92553819507
3064506	234	1	4	0	1	3	2					1460.37298496152
3064507	234	1	5	0	1	4	2					1629.57533122313
3064508	234	1	4	0	0	4	2					1333.4798342866
3064509	234	1	4	0	0	4	2					1687.46128058968
3064510	234	1	3	0	0	3	2					812.556954780411
3064511	234	1	2	0	0	2	2					1634.37856841634
3064512	234	1	1	0	0	1						1732.70977262656
3064513	234	1	2	0	0	2	2					1486.32418938922
3064514	234	1	4	1	1	2	2	1	6	1	1	1661.54253868966
3064515	234	1	3	1	0	2	2	1	3	2	1	1554.14154589756
3064516	234	1	4	0	0	4	2					1185.42545525948
3064517	234	1	3	1	0	2	2	1	1	2	1	2017.71525836667
3064518	234	1	2	0	0	2	2					1123.42479686666
3064519	234	1	3	0	2	1	2					1765.83352295368
3064520	234	1	4	1	1	2	2	1	1	7	1	1401.94889832326
3064521	234	1	8	2	0	6	2	3	3	3	1	1824.38983712973
3064522	234	1	3	0	1	2	2					1227.76073262897
3064523	234	1	4	0	0	4	2					1682.28562568084
3064525	234	1	3	0	0	3	2					1529.25735239482
3064526	234	1	2	0	0	2	2					1334.28574000905
3064527	234	1	3	1	0	2	2	2	2	3	1	1598.85009042048
3064528	234	1	5	0	1	4	2					2102.16915214763
3064530	234	1	4	1	1	2	2	1	7	7	1	1401.94889832326
3064531	234	1	2	0	0	2	2					1467.19540271391
3064532	234	1	4	1	1	2	2	1	1	2	1	1614.41878496893
3064533	234	1	1	0	0	1						1237.69602775282
3064534	234	1	4	0	0	4	2					1591.31930207574
3064535	234	1	2	0	0	2	2					1119.5067638949
3064537	234	1	3	1	0	2	2	1	7	7	1	1465.94042771562
3064538	234	1	1	0	0	1						1237.69602775282
3064539	234	1	4	1	1	2	2	2	1	2	1	1401.94889832326
3064540	234	1	3	2	0	1	2	1	3	1	1	1642.70081408047
3064541	234	1	3	0	0	3	2					1105.09761190074
3064542	234	1	4	0	1	3	2					1615.60052267443
3064543	234	1	2	0	0	2	2					1334.28574000905
3064544	234	1	1	0	0	1						1340.68917659081
3064545	234	1	1	0	0	1						1555.46815270497
3064546	234	1	2	0	0	2	2					1334.28574000905
3064547	234	1	5	1	1	3	2	1	7	7	2	1596.92051070902
3064548	234	1	1	0	0	1						1237.69602775282
3064549	234	1	5	0	1	4	2					2012.53732291569
3064550	234	1	2	0	0	2	2					1467.19540271391
3064552	234	1	1	0	0	1						1555.46815270497
3064553	234	1	1	0	0	1						1237.69602775282
3064554	234	1	10	3	1	6	2	4	6	7	1	995.229563155366
3064555	234	1	3	1	0	2	2	1	1	7	1	786.240920383919
3064556	234	1	5	0	0	5	2					913.914633745726
3064557	234	1	3	0	1	2	2					1092.35825437812
3064558	234	1	6	1	1	4	2	1	4	7	1	794.74409013672
3064559	234	1	2	0	0	2	2					790.271555521159
3064560	234	1	4	1	1	2	2	2	3	3	2	990.048363013316
3064561	234	1	4	0	0	4	2					513.824699670632
3064562	234	1	2	0	0	2	2					887.015759183524
3064563	234	1	3	1	1	1	2	1	1	2	1	927.371834522645
3064564	234	1	3	0	0	3	2					523.403716002771
3064565	234	1	2	0	0	2	2					887.015759183524
3064566	234	1	3	0	0	3	2					666.185978333824
3064567	234	1	1	0	0	1						891.272680314162
3064568	234	1	1	0	0	1						891.272680314162
3064569	234	1	2	0	0	2	2					813.225161795515
3064570	234	1	7	0	2	5	2					1613.27957551212
3064571	234	1	1	0	0	1						1034.05494264522
3064572	234	1	4	0	0	4	2					983.25521150277
3064573	234	1	1	0	0	1						1196.83449444643
3064574	234	1	1	0	0	1						1504.11562970772
3064575	234	1	4	0	1	3	2					1648.93548500193
3064576	234	1	5	0	1	4	2					1389.27662294551
3064577	234	1	4	1	1	2	2	1	2	3	1	1561.12005452682
3064578	234	1	1	0	0	1						1196.83449444643
3064579	234	1	6	0	1	5	2					705.357374339881
3064580	234	1	8	2	0	6	2	1	7	1	1	1337.91385111575
3064581	234	1	2	0	0	2	2					1389.82828880447
3064582	234	1	9	2	0	7	2	1	1	6	1	2227.15779929263
3064583	234	1	9	2	0	7	2	1	3	2	1	713.151031669489
3064587	234	1	5	1	0	4	2	1	7	7	1	1828.00101116097
3064588	234	1	5	1	2	2	2	1	1	2	1	1654.35177426246
3064589	234	1	4	1	0	3	2	1	6	7	1	1268.39651815623
3064590	234	1	2	0	0	2	2					975.212827020014
3064591	234	1	2	0	0	2	2					1564.12865431569
3064592	234	1	7	1	0	6	2	1	3	4	1	1338.49445784615
3064593	234	1	4	0	0	4	2					1302.92709816717
3064594	234	1	2	0	0	2	2					768.28558716677
3064595	234	1	4	2	0	2	2	1	1	2	1	997.065247140564
3064596	234	1	4	0	0	4	2					1734.08065290656
3064597	234	1	4	0	0	4	2					1734.08065290656
3064598	234	1	4	0	0	4	2					962.067780337806
3064599	234	1	5	0	2	3	2					1707.80578601896
3064600	234	1	4	2	0	2	2	1	2	2	1	1202.5206123245
3064601	234	1	4	0	0	4	2					1298.27775995715
3064602	234	1	1	0	0	1						1089.50016792327
3064603	234	1	4	1	1	2	2	1	1	2	1	1355.66468934288
3064604	234	1	4	1	0	3	2	1	2	2	1	1409.11870109938
3064605	234	1	3	1	0	2	2	1	4	1	1	1349.10567649141
3064606	234	1	4	2	0	2	2	2	1	1	1	997.065247140564
3064607	234	1	2	0	0	2	2					1418.75713316252
3064608	234	1	4	0	0	4	2					1202.57320275912
3064609	234	1	6	1	0	5	2	1	2	3	1	930.071028363816
3064610	234	1	1	0	0	1						1296.42740777651
3064611	234	1	7	0	1	6	2					1933.47579578573
3064612	234	1	5	1	0	4	2	1	2	1	1	708.148389647729
3064613	234	1	3	1	0	2	2	1	7	5	1	1143.65031130748
3064614	234	1	3	0	1	2	2					1174.30699860951
3064615	234	1	2	0	0	2	2					1290.23537547439
3064616	234	1	5	0	1	4	2					1053.82762540414
3064617	234	1	3	0	0	3	2					935.632938297907
3064618	234	1	1	0	0	1						1296.42740777651
3064619	234	1	5	0	1	4	2					1249.8933665941
3064620	234	1	5	1	2	2	2	1	1	2	1	1656.8998637983
3064621	234	1	2	0	0	2	2					1149.46908878284
3064622	234	1	5	0	1	4	2					1297.36477349648
3064624	234	1	4	0	0	4	2					1544.89029355561
3064625	234	1	5	0	1	4	2					1712.81261069928
3064626	234	1	2	0	0	2	2					977.417879381783
3064627	234	1	4	0	0	4	2					749.08907041482
3064629	234	1	4	1	0	3	2	1	1	1	1	1102.0873662751
3064634	234	1	2	0	0	2	2					964.439910578498
3064635	234	1	2	0	0	2	2					875.712708154163
3064640	234	1	7	1	1	5	2	1	1	2	2	1277.73900138783
3064641	234	1	4	0	1	3	2					1613.27964305395
3064642	234	1	4	2	0	2	2	1	1	2	1	1411.15955002563
3064643	234	1	3	0	0	3	2					1071.02994901145
3064645	234	1	1	0	0	1						1091.96363523201
3064646	234	1	3	0	0	3	2					706.952256914316
3064647	234	1	3	0	0	3	2					1809.28054508869
3064648	234	1	4	0	0	4	2					1748.44640938878
3064649	234	1	3	1	0	2	2	1	7	7	1	2050.78099700458
3064650	234	1	4	0	0	4	2					1915.99729448308
3064651	234	1	3	0	0	3	2					1597.67412943137
3064652	234	1	5	0	0	5	2					1730.70362245414
3064653	234	1	2	0	0	2	2					1635.39058505504
3064654	234	1	2	0	0	2	2					1678.48193382031
3064655	234	1	2	0	0	2	2					1834.2533488777
3064656	234	1	5	0	0	5	2					1710.72995376511
3064657	234	1	1	0	0	1						1895.0874845776
3064658	234	1	1	0	0	1						1851.99613581234
3064659	234	1	3	1	0	2	2	1	2	3	2	2030.80732831555
3064660	234	1	4	0	0	4	2					1791.53775815405
3064661	234	1	3	0	0	3	2					1359.62816217558
3064662	234	1	1	0	0	1						1895.0874845776
3064663	234	1	1	0	0	1						801.622814487656
3064664	234	1	5	0	0	5	2					843.267258206428
3064665	234	1	2	0	0	2	2					559.326177640046
3064666	234	1	4	0	0	4	2					775.216352021102
3064667	234	1	1	0	0	1						749.038971376048
3064668	234	1	2	0	0	2	2					653.120683279546
3064669	234	1	1	0	0	1						622.409943686594
3064670	234	1	4	2	0	2	2	2	2	2	2	841.219376781053
3064671	234	1	1	0	0	1						622.409943686594
3064672	234	1	2	0	0	2	2					559.326177640046
3064673	234	1	4	0	1	3	2					786.265933299222
3064674	234	1	1	0	0	1						724.532904812012
3064674	234	2	1	0	0	1						724.532904812012
3064675	234	1	4	0	0	4	2					478.874952617262
3064676	234	1	3	1	0	2	2	2	4	2	1	884.847302756323
3064677	234	1	2	1	0	1	2	2	2	2	1	816.796396570997
3064678	234	1	3	0	1	2	2					730.632388386299
3064679	234	1	2	0	0	2	2					705.704526391154
3064680	234	1	3	1	0	2	2	1	1	2	1	867.327346300622
3064681	234	1	2	0	0	2	2					817.089877561374
3064682	234	1	3	0	0	3	2					574.793240713764
3064683	234	1	3	1	0	2	2	1	2	2	1	773.461951586103
3064684	234	1	5	0	1	4	2					878.888395337966
3064685	234	1	1	0	0	1						670.488142255782
3064686	234	1	2	0	0	2	2					559.326177640046
3064687	234	1	3	0	0	3	2					463.407889543544
3064688	234	1	2	0	0	2	2					559.326177640046
3064690	234	1	2	0	0	2	2					691.698382762058
3064691	234	1	1	0	0	1						801.622814487656
3064692	234	1	1	0	0	1						637.653620205828
3064693	234	1	2	0	0	2	2					738.539048441108
3064694	234	1	4	0	1	3	2					760.105595089112
3064695	234	1	3	0	0	3	2					541.95871866381
3064699	234	1	4	0	1	3	2					798.683294571625
3064700	234	1	6	1	2	3	2	3	3	7	3	702.898720701495
3064701	234	1	2	0	0	2	2					559.326177640046
3064702	234	1	2	0	0	2	2					559.326177640046
3064703	234	1	4	0	2	2	2					835.893214059854
3064704	234	1	2	0	0	2	2					803.083733932279
3064705	234	1	2	0	0	2	2					803.083733932279
3064706	234	1	3	0	0	3	2					541.95871866381
3064707	234	1	4	0	0	4	2					736.63865253859
3064708	234	1	3	0	0	3	2					574.793240713764
3064709	234	1	7	0	2	5	2					806.660436346471
3064710	234	1	4	0	1	3	2					810.83748915264
3064711	234	1	5	1	0	4	2	1	6	6	1	2329.71568544416
3064712	234	1	2	0	1	1	2					1686.9727109063
3064713	234	1	3	0	0	3	2					994.041197110884
3064714	234	1	1	0	0	1						1267.92734731689
3064715	234	1	5	0	1	4	2					1453.77858749961
3064716	234	1	3	1	0	2	2	2	1	1	1	2031.74304731779
3064717	234	1	1	0	0	1						1267.92734731689
3064718	234	1	4	0	0	4	2					1168.83818249579
3064719	234	1	2	0	0	2	2					1165.85414711871
3064720	234	1	2	0	0	2	2					1625.14414836642
3064721	234	1	2	0	0	2	2					1165.85414711871
3064722	234	1	3	0	0	3	2					1068.53237756635
3064723	234	1	1	0	0	1						1267.92734731689
3064724	234	1	6	1	1	4	2	1	1	2	1	1599.72334136027
3064725	234	1	2	0	1	1	2					1440.9215320959
3064726	234	1	6	0	0	6	2					1487.76051743731
3064727	234	1	4	1	0	3	2	1	7	7	1	1736.53758508969
3064728	234	1	4	0	0	4	2					1154.23521621546
3064729	234	1	7	1	1	5	2	1	7	7	1	2020.57150555557
3064730	234	1	1	0	0	1						1732.57357174724
3064731	234	1	2	0	0	2	2					1566.11684492207
3064732	234	1	2	0	0	2	2					972.721885088781
3064733	234	1	3	0	0	3	2					1597.56212862371
3064734	234	1	2	0	0	2	2					1428.12136642146
3064735	234	1	3	0	0	3	2					1181.81723595816
3064736	234	1	4	0	1	3	2					1748.98404972772
3064737	234	1	5	2	0	3	2	2	2	1	2	2464.43100678816
3064739	234	1	2	0	0	2	2					749.118165559882
3064741	234	1	3	0	1	2	2					1034.73633539222
3064742	234	1	5	0	2	3	2					1358.20153907533
3064743	234	1	4	0	0	4	2					665.419752825946
3064744	234	1	4	1	0	3	2	7	7	7	2	1106.42699693135
3064745	234	1	5	0	2	3	2					1152.23743563158
3064746	234	1	3	0	0	3	2					816.622564619939
3064748	234	1	4	1	0	3	2	3	2	2	1	1284.32959824285
3064749	234	1	2	0	0	2	2					876.268091833101
3064750	234	1	1	0	0	1						1113.26304321382
3064751	234	1	2	0	0	2	2					831.845509045823
3064752	234	1	3	0	1	2	2					935.647911251244
3064753	234	1	4	0	2	2	2					805.977885024618
3064754	234	1	2	0	1	1	2					1083.96226549171
3064755	234	1	1	0	0	1						1113.26304321382
3064756	234	1	2	1	0	1	2	1	1	6	1	1516.20302242265
3064757	234	1	12	5	0	7	2	3	4	4	2	2008.77817470863
3064758	234	1	1	0	0	1						897.432519800348
3064759	234	1	2	0	0	2	2					831.845509045823
3064760	234	1	3	0	0	3	2					902.414704206662
3064761	234	1	1	0	0	1						938.802076599792
3064763	234	1	4	0	2	2	2					1221.26608108358
3064764	234	1	5	0	1	4	2					1106.08478262944
3064765	234	1	3	0	0	3	2					855.103663865855
3064766	234	1	4	1	1	2	2	3	7	4	1	1156.02128463097
3064767	234	1	4	1	1	2	2	4	7	2	1	1643.6404180448
3064768	234	1	4	0	1	3	2					965.707689940216
3064769	234	1	1	0	0	1						1113.26304321382
3064770	234	1	2	0	0	2	2					749.118165559882
3064771	234	1	4	1	0	3	2	1	2	2	1	1153.73803727216
3064773	234	1	3	0	0	3	2					807.239446381101
3064774	234	1	3	0	1	2	2					1034.73633539222
3064775	234	1	2	0	0	2	2					1006.30647565985
3064776	234	1	2	0	0	2	2					994.777147489146
3064777	234	1	5	0	0	5	2					1192.6152014247
3064778	234	1	3	1	0	2	2	2	1	3	1	989.622893652067
3064779	234	1	2	0	0	2	2					1014.92030808327
3064780	234	1	4	0	0	4	2					697.282620419043
3064780	234	2	1	0	0	1						697.282620419043
3064781	234	1	4	1	0	3	2	1	3	2	1	1033.79003744033
3064782	234	1	3	1	0	2	2	1	1	1	1	1272.55737144349
3064783	234	1	4	1	1	2	2	1	7	3	1	1303.35433046342
3064784	234	1	3	0	0	3	2					666.457505138725
3064785	234	1	6	0	1	5	2					1248.60876743616
3064786	234	1	6	0	1	5	2					1286.2316783328
3064787	234	1	3	0	0	3	2					848.571076737997
3064788	234	1	6	1	1	4	2	3	7	7	1	1516.57108991946
3064789	234	1	2	0	0	2	2					992.997369671162
3064790	234	1	3	0	0	3	2					688.380443550837
3064791	234	1	1	0	0	1						895.128865094396
3064792	234	1	5	2	1	2	2	1	2	2	1	1372.39795710221
3064793	234	1	3	0	1	2	2					1070.91387409474
3064794	234	1	6	1	1	4	2	6	3	6	6	1496.42792932533
