DIRECTORIO	NRO_ENCUESTA	REGION	P4090	P4000	P4031S1	P4031S1A1	P4031S2	P4031S3	P4031S4	P4031S4A1	P4031S5	P70	FEX_P
3064380	233	4	1	1	1	9	2	1	1	2	1	1	3815.3159500718
3064381	233	4	1	1	1	2	2	1	1	2	1	1	2906.10517617181
3064382	233	4	1	1	1	2	2	1	1	2	1	1	3135.23756838968
3064383	233	4	1	1	1	2	2	1	1	2	1	1	4279.78982175032
3064384	233	4	1	1	1	2	2	1	1	2	1	1	2543.1526669636
3064386	233	4	1	1	1	2	2	1	1	2	1	1	2231.4088028486
3064387	233	4	1	1	1	2	1	1	1	2	1	1	2894.0816065305
3064389	233	4	1	1	1	1	2	1	1	2	1	1	3660.12283263211
3064390	233	4	1	2	1	1	2	1	1	2	1	1	3286.46326338025
3064391	233	4	1	2	1	1	2	1	1	2	1	1	3515.59565559812
3064392	233	4	1	1	1	1	2	1	1	2	1	3	4065.51727919728
3064396	233	4	1	1	1	2	2	1	1	2	1	1	6196.45966821128
3064397	233	4	1	1	1	2	2	1	1	2	1	1	3279.76474542368
3064398	233	5	1	2	1	1	2	2	1	3	2	1	794.988631339761
3064399	233	5	1	1	1	1	2	2	1	3	2	1	653.134179127109
3064400	233	5	1	1	1	1	2	2	1	3	2	1	712.055016972365
3064401	233	5	1	1	1	1	2	2	1	3	2	1	764.4595183584
3064402	233	5	1	1	1	1	2	2	1	3	2	1	710.942796190069
3064403	233	5	1	1	1	1	2	2	1	3	2	1	701.976400988597
3064404	233	5	1	1	1	1	2	2	1	3	2	1	874.487494473738
3064405	233	5	1	2	1	2	2	2	1	3	2	1	450.024268216491
3064406	233	5	1	1	1	1	2	2	1	3	2	1	753.607028654183
3064407	233	5	1	1	1	1	2	2	1	3	2	1	592.523719630453
3064408	233	5	1	1	1	1	2	2	1	3	2	1	482.839262087881
3064409	233	5	1	1	1	1	2	2	1	3	1	1	597.185951637867
3064410	233	5	1	1	1	1	2	2	2		2	1	409.112971105901
3064411	233	5	1	1	1	1	2	2	2		2	1	767.480868677095
3064412	233	5	1	1	1	1	2	2	2		2	1	808.710261813482
3064413	233	5	1	1	1	1	2	2	2		2	1	569.264667015819
3064414	233	5	1	1	1	1	2	2	2		2	1	955.23171203667
3064415	233	5	1	1	1	3	2	1	1	3	2	1	482.839262087881
3064416	233	5	1	2	1	2	2	1	1	3	1	1	482.839262087881
3064417	233	5	1	1	1	2	2	2	1	3	2	1	491.496541006465
3064418	233	5	1	1	1	3	2	1	1	3	1	1	491.496541006465
3064419	233	5	1	1	1	2	2	1	1	3	1	1	597.354313093164
3064420	233	5	1	2	1	2	2	2	1	3	1	1	597.354313093164
3064421	233	5	1	1	1	3	2	2	1	3	1	1	606.449029544848
3064422	233	5	1	1	1	3	2	2	1	3	2	1	497.024318244564
3064423	233	5	1	1	1	1	2	2	1	3	2	1	894.820165977568
3064424	233	5	1	2	1	1	2	2	1	3	2	1	718.44759703982
3064425	233	5	1	1	1	1	2	2	1	3	2	1	581.600460816868
3064426	233	2	1	1	1	1	1	2	1	2	1	1	1528.88071062703
3064427	233	2	1	1	1	1	1	2	1	2	1	1	1374.43744730336
3064428	233	2	1	1	1	1	1	2	1	2	1	1	1099.53294874865
3064429	233	2	1	1	1	1	1	2	1	2	1	1	1172.73898709448
3064430	233	2	1	1	1	1	1	2	1	2	1	1	1576.76950066908
3064431	233	2	1	1	1	1	1	2	1	3	1	1	1054.39100524158
3064432	233	2	1	1	1	1	1	2	1	2	1	3	1637.03168555925
3064433	233	2	1	1	1	1	1	2	1	2	1	1	1229.17571549609
3064434	233	2	1	1	1	1	1	2	1	2	1	1	1528.88071062703
3064435	233	2	1	1	1	1	1	2	1	2	1	1	1054.39100524158
