DIRECTORIO;NRO_ENCUESTA;HOGAR_NUMERO;PERSONA_NUMERO;P5485;P5485S1;P5486;P5486S1;P5487;P5487S1;P5488;P5488S1;P5489;P5489S1;P5490;P5490S1;P5491;P5492S1;P5492S2;P5492S3;P5492S4;P5492S5;P5492S6;P5492S7;P5492S8;P5492S9;P5493;P5494;P5495S1;P5495S2;P5495S3;P5495S4;P5495S5;P5495S6;P5495S7;P5495S8;P5495S9;P5496;P5497;P5497S1A1;P5497S1A2;P5497S1A3;P5497S1A4;P5497S1A5;P5497S1A6;P5497S1A7;P5498;P5498S1;P5499S1;P5499S2;P5499S3
3075397;235;1;3;1;3;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;1;2;2;2;1;2;2;2;1;2;2;1;2
3075397;235;1;4;1;2;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;1;2;2;2;1;2;2;2;1;2;2;1;2
3075397;235;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;1;2;2;1;2
3075398;235;1;3;1;3;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;1;1;2;2;2;2;2;2;2; ; ; ; 
3075398;235;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;1;2;1;2;2
3075410;235;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;2;2;2;1;1;2;1;1
3075410;235;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;1;1;1;1;2
3075411;235;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; 
3075419;235;1;6;1;2;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;2;2;2;1;2;2;1;2
3075421;235;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; 
3075422;235;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; 
3075422;235;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; 
3075425;235;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;1;1;1;1;2
3075426;235;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; 
3075431;235;1;3;2; ;1;3;2; ;2; ;2; ;2; ;1;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;1;1;2;2;1;2;1;2;2; ; ; ; 
3075431;235;1;4;2; ;1;3;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;1;2;1;2;2;2;1;2;2; ; ; ; 
3075433;235;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;1;2;2;2; ; ; ; 
3075434;235;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; 
3075435;235;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;2;2;1;1;2;2;1;2
3075437;235;1;3;1;2;2; ;2; ;1;5;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; 
3075437;235;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; 
3075437;235;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; 
3075437;235;1;9;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; 
3075438;235;1;9;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;1;6;2;1;2
3075439;235;1;3;2; ;2; ;2; ;2; ;2; ;1;3;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;2;2;1;1;1;1;2;2
3075442;235;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;1;5;1;1;2
3075444;235;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;1;1;1;1;2
3075444;235;1;9;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;1;1;1;1;2
3075444;235;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; 
3075446;235;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;2;1;2;2; ; ; ; 
3075446;235;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;2;1;2;2; ; ; ; 
3075447;235;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; 
3075447;235;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; 
3075447;235;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;2;2;1;1;6;2;1;2
3075450;235;1;6;1;3;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;1;1;2;2;2;1;1;2;2; ; ; ; 
3075453;235;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;2;1;2;1;6;2;1;2
3075454;235;1;3;1;2;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;1;1;1;1;2
3075456;235;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; 
3075456;235;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; 
3075458;235;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; 
3075458;235;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; 
3075463;235;1;5;1;2;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;2;2;2;1;2;1;1;2
3075463;235;1;6;1;2;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;1;1;1;1;2
3075463;235;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;1;1;1;1;2
3075464;235;1;7;1;1;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;1;1;2;2;2;1;2;2;1;4;2;1;2
3075465;235;1;4;1;2;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;1;2;1;2; ; ; ; 
3075471;235;1;4;2; ;2; ;2; ;2; ;2; ;1;5;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;1;2;2;1;2
3075472;235;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;2; ; ; ; 
3075477;235;2;3;2; ;2; ;1;2;2; ;2; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;1;2;1;1;2;1;2
3075477;235;3;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;1;4;2;1;2
3075477;235;3;4;2; ;2; ;2; ;2; ;2; ;1;5;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;1;3;2;1;2
3075482;235;1;4;2; ;2; ;2; ;2; ;2; ;1;2;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;1;1;2;2;2;2;1;1;1;2;1;1;1
3075486;235;1;3;1;2;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;1;2;2;1;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ;1;1;1;2;2
3075486;235;1;6;1;4;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;1;2;1;1;2
3075487;235;1;3;2; ;2; ;2; ;2; ;2; ;1;4;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ;1;2;2;1;2
3075494;235;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ; ; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ;1;2;2;2;2;2;1;2;1;2;2;1;2
