Directorio	Nro_encuesta	Hogarnmero	Personanmero	P5485	P5485s1	P5486	P5486s1	P5487	P5487s1	P5488	P5488s1	P5489	P5489s1	P5490	P5490s1	P5491	P5492s1	P5492s2	P5492s3	P5492s4	P5492s5	P5492s6	P5492s7	P5492s8	P5492s9	P5493	P5494	P5495s1	P5495s2	P5495s3	P5495s4	P5495s5	P5495s6	P5495s7	P5495s8	P5495s9	P5496	P5497	P5497s1a1	P5497s1a2	P5497s1a3	P5497s1a4	P5497s1a5	P5497s1a6	P5497s1a7	P5498	P5498s1	P5499s1	P5499s2	P5499s3	P263	P264	P265	P267	P266	P255s1	P255s2	P255s3	P255s4	P255s5	P268	P256s1	P256s2	P256s3	P256s4	P256s5	P257s1	P257s2	P257s3	P257s4	P257s5	P257s6	Fex_c
303915700	209	1	2	2		2		2		2		2		2		2											2											2								1	2	1	1	2	1	3	2		1																		2330.06251300303
303915700	209	1	3	2		2		2		2		2		2		2											2											2								1	1	1	1	2	1	3	2		1																		2330.06251300303
303915900	209	1	3	1	5	2		2		2		2		2		2											2											1	2	2	2	2	2	1	2	1	1	2	1	2	2		2		2						2	2	2	2	1	2	1	2	1	2	2	1	1919.41290408997
303915900	209	1	4	1	2	2		2		2		2		2		1	2	1	2	2	2	2	2	1	2	2	1	2	2	2	2	2	1	2	1	2	2	1	2	2	2	2	1	1	1	1	1	2	1	2	1	5	1	2		1	1	2	2	2	2	2	2	2	1	2	1	2	1	2	2	1	1919.41290408997
303915900	209	1	6	1	1	2		2		2		2		2		2											2											1	2	2	2	2	2	1	1	1	1	2	1	2	2		1	4		2	1	1	2	2	2	2	2	2	1	2	1	2	1	2	2	1	1919.41290408997
303916100	209	1	4	2		2		2		2		2		2		2											2											1	2	2	2	2	2	2	2	2					1	5	1	3		2	1	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	1864.6828389252
303916100	209	1	5	2		2		2		2		2		2		2											2											2								2					1	5	2		5																		1864.6828389252
303916500	209	1	3	1	5	2		2		2		2		2		2											2											1	1	2	2	2	2	1	2	1	5	2	1	2	2		1	3		2	1	2	2	2	2	2	2	2	1	2	1	2	1	2	2	1	1791.93654178262
303917600	209	1	3	2		2		2		2		2		2		2											2											2								1	1	1	1	2	1	3	1	2		1	1	2	2	2													2325.34020618557
303917800	209	1	6	2		2		2		2		2		2		2											2											2								1	1	1	1	1	2		2		2																		1260.03451722459
303918400	209	1	2	1	1	2		2		2		2		1	2	1	2	1	2	2	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	1	1	2	2	2	1	1	2	1	2	2	1	2	1	3	1	2		1	2	2	2	2	1	1	1	2	2	2	1	2	1	2	2	1	1926.30001234808
303918500	209	1	3	1	1	2		2		2		2		2		2											2											1	2	2	2	2	2	1	2	2					1	3	1	2		1	1	2	2	2	2	2	1	2	2	2	1	2	2	2	2	1	2868.92603980357
303918500	209	1	4	1	1	2		2		2		2		2		2											2											2								2					2		1	1		1	2	2	2	2													2868.92603980357
