Directorio	Nro_encuesta	Hogarnmero	Personanmero	P271	P262	P5475	P254	P254s1	P254s2	P5468s1a1	P5468s1a2	P5468s2a1	P5468s2a2	P5468s3a1	P5468s3a2	P5468s4a1	P5468s4a2	P5468s5a1	P5468s5a2	P5468s6a1	P5468s6a2	P5468s7a1	P5468s7a2	P5468s8a1	P5468s8a2	P5468s9a1	P5468s9a2	P5468s10a1	P5468s10a2	P5469s1	P5469s2	P5469s3	P5469s4	P5469s5	P5469s6	P5469s7	P5469s8	P5469s9	P5469s10	P5469s11	P5470	P5470s1	P5471	P5471s1	P5472	P5472s1	P5473	P5473s1	P5474s1	P5474s2	P5474s3	P5474s4	P5474s5	P5474s6	P5474s7	P5474s8	P5474s9	P5476	P5476s1	P5477	P5477s1	P5478	P5478s1	P5479	P5479s1	P5480	P5480s1	P5481	P5481s1	P5482	P5482s1	P5483	P5483s1	P5484	P5484s1	Fex_c
303915700	209	1	2	7	3	1	1	2	3	0	0	10	5	20	10	20	0	0	0	0	0	20	0	0	0	0	0	0	0	2	2	2	1	2	2	2	2	1	2	2	2		2		2		2		2	2	2	1	2	1	2	1	2	1	3	2		2		2		2		1	1	2		2		2		2330.06251300303
303915700	209	1	3	7	3	1	1	2	3	0	0	5	5	20	10	20	10	0	0	0	0	20	0	0	0	0	0	0	0	2	2	2	1	2	2	2	2	1	2	2	2		2		2		2		2	2	2	1	2	2	2	1	2	1	3	2		2		2		2		1	1	2		2		2		2330.06251300303
303915900	209	1	3	99	6	1	1	3	4	0	0	10	10	65	21	35	4	3	2	0	0	4	1	0	0	0	0	0	0	2	2	2	1	1	2	1	1	1	1	1	2		2		2		2		2	2	2	1	2	1	1	2	2	2		2		1	3	2		1	4	1	1	1	3	1	1	2		1919.41290408997
303915900	209	1	4	6	4	1	1	3	3	0	0	20	10	65	15	40	10	10	2	0	0	3	2	0	0	0	0	0	0	1	1	2	1	2	2	2	1	1	1	1	2		2		2		2		2	2	2	1	2	2	1	2	1	2		2		1	3	2		1	5	1	1	1	2	1	1	1	4	1919.41290408997
303915900	209	1	6	6	4	1	1	3	4	0	0	10	10	70	20	35	6	5	0	0	0	1	1	0	0	0	0	0	0	2	2	2	1	1	2	1	1	2	1	1	2		1	5	2		2		2	2	2	1	1	2	1	2	2	1	3	2		2		2		1	5	1	1	1	3	1	1	1	3	1919.41290408997
303916100	209	1	4	6	4	1	1	3	2	0	0	0	0	40	30	35	0	0	0	0	0	0	0	0	0	0	0	0	0												2		2		2		2		2	2	2	2	2	2	2	2	2	1	3	2		2		2		2		1	1	2		2		1	2	1864.6828389252
303916100	209	1	5	6	4	2	1	3	1	0	0	0	0	40	18	35	0	0	0	0	0	0	0	0	0	0	0	0	0												2		2		2		2		2	2	2	2	2	2	2	2	2	2		2		2		2		2		1	1	2		2		1	1	1864.6828389252
303916500	209	1	3	6	4	1	1	3	1	0	0	20	12	40	16	25	0	2	2	0	0	1	0	0	0	0	0	0	0	2	2	2	1	2	2	2	2	2	2	1	2		2		2		2		2	2	2	2	2	2	2	2	1	2		2		2		2		1	5	1	1	2		2		1	4	1791.93654178262
303917600	209	1	3	6	4	2	1	2	3	0	0	25	20	60	24	25	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	2	1	2	2	1	1	1	1	1	2		2		2		2		2	2	1	2	2	2	2	2	1	1	6	2		2		2		1	3	1	1	2		2		1	3	2325.34020618557
303917800	209	1	6	6	4	1	1	3	2	0	0	15	10	60	26	30	2	0	0	0	0	3	2	0	0	0	0	0	0	2	2	2	1	2	2	1	2	1	1	1	2		2		2		2		2	2	1	2	2	1	1	2	2	2		2		2		2		2		1	1	1	3	1	3	1	3	1260.03451722459
303918400	209	1	2	6	4	1	1	3	5	0	0	3	3	20	20	2	1	0	0	0	0	35	35	0	0	0	0	0	0	1	2	2	1	2	1	2	2	2	2	2	2		1	1	1	2	2		2	2	1	2	2	2	2	2	2	1	2	1	1	2		1	1	1	2	1	1	1	1	2		1	1	1926.30001234808
