DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	P6008	P6007	P6007S1	FEX_P
366452400	234	1	1			720.555282068609
366496200	234	1	4	2		1625.10471844753
366461640	234	1	3	2		999.231613787766
366576840	234	1	1			2189.54414871285
366409440	234	1	2	2		1660.35064555257
366452760	234	1	4	2		1211.6011972623
366452760	234	2	3	2		1211.6011972623
366440880	234	1	2	2		1335.56841494077
366585480	234	1	4	2		564.570741219707
366585480	234	2	3	2		564.570741219707
366426600	234	1	5	2		1463.89454210398
366476400	234	1	3	2		684.796184552105
366411960	234	1	5	2		1696.96990262467
366383880	234	1	5	2		1450.31361029193
366577560	234	1	4	2		320.370497427101
366386400	234	1	5	2		1422.96383437238
366603720	234	1	1			525.971198050638
366453120	234	1	5	2		943.865920909433
366453120	234	2	4	2		943.865920909433
366405840	234	1	1			1627.25966265606
366510720	234	1	2	2		1627.78735979609
366498360	234	1	3	2		1294.77233740631
366588000	234	1	5	2		776.878319083121
366498720	234	1	4	2		1236.6707421047
366638760	234	1	4	2		667.353981612488
366651960	234	1	2	2		1019.79787525738
366639960	234	1	5	2		1078.97469460598
366654960	234	1	2	2		1358.44349442952
366622080	234	1	3	2		1571.19063133781
366621240	234	1	2	2		1692.31875087565
366636720	234	1	5	2		1016.58276836203
366623880	234	1	2	2		873.13440525248
366623160	234	1	4	2		4230.02118071385
366668280	234	1	1			160.059899448265
366665760	234	1	3	2		243.287312323981
366636960	234	1	3	2		737.272069707241
366635520	234	1	3	2		648.395818942859
366650160	234	1	3	1	1	1342.05658918463
366628440	234	1	3	2		693.838306132919
366663120	234	1	2	2		192.827524971849
366615000	234	1	3	2		1640.74051560552
366634560	234	1	3	2		443.428307508543
366616080	234	1	2	2		1391.96993486447
366747000	234	1	4	2		2761.01951152312
366723600	234	1	6	2		2391.67167243054
366712200	234	1	2	2		2051.3299617517
366689640	234	1	5	2		1672.0327891977
366684120	234	1	6	2		1425.36886416435
366747600	234	1	2	2		2363.39599628113
366741600	234	1	2	2		3718.48902076501
366735000	234	1	2	2		1706.25288757643
366704760	234	1	3	2		1892.78673875557
366704760	234	2	4	2		1892.78673875557
366715320	234	1	2	2		2040.95520158948
366734520	234	1	3	2		1391.58620843908
366688200	234	1	3	2		1616.91083185369
366716880	234	1	3	2		927.392729327886
366712560	234	1	1			2021.92712325213
366730800	234	1	6	1	2	792.019048246106
366703200	234	1	1			1311.66898659025
366697440	234	1	6	2		1525.42142622366
366682680	234	1	3	2		978.653892403644
366723960	234	1	5	2		1048.58697672242
366702720	234	1	5	2		1026.03882176409
366710400	234	1	1			718.472689824471
366722160	234	1	2	2		2057.45465834322
366671760	234	1	6	2		1666.04006756718
366752400	234	1	3	2		1634.94833214434
366753960	234	1	4	2		1890.66461111887
366712440	234	1	2	2		2241.30139555454
366717240	234	1	4	2		1006.44089733851
366771000	234	1	6	2		2556.79821340034
366745800	234	1	2	2		3498.44365140008
366762240	234	1	6	2		1167.73726003689
366717480	234	1	5	2		894.760535355818
366715800	234	1	3	2		1066.34548757134
366687000	234	1	5	2		1581.40767297906
366718560	234	1	4	2		3141.9256330823
366751800	234	1	4	2		2416.79224747332
366705120	234	1	3	2		927.392729327886
366685440	234	1	3	2		1481.00170530088
366701520	234	1	2	2		1207.1654498054
366750720	234	1	2	2		1634.94833214434
366767880	234	1	5	2		806.50575871671
366692880	234	1	3	2		1540.38003525831
366736680	234	1	2	2		983.615078117643
366761640	234	1	3	2		1142.96116479815
366748800	234	1	2	2		961.609336080706
366744960	234	1	5	2		4967.47503274573
366720240	234	1	5	2		2201.59727848614
366741480	234	1	2	2		1532.43644681243
366702480	234	1	2	2		954.340536712546
366728640	234	1	2	2		1053.4605121182
366771240	234	1	3	2		707.341093117409
366670200	234	1	4	2		1355.3883651147
366697320	234	1	2	2		1583.81984895719
366751560	234	1	5	2		1200.98371292806
366710160	234	1	3	2		517.924249768916
366744840	234	1	2	2		4611.56571168633
366692520	234	1	5	2		1634.75064029784
366763320	234	1	3	2		536.211177242959
366730080	234	1	1			1614.20945855452
366709680	234	1	2	2		2340.6201901842
366670920	234	1	3	2		1422.68373757845
366733080	234	1	3	2		656.150366525308
366697680	234	1	4	2		1216.60370469035
366685320	234	1	4	2		1699.75197445268
366711960	234	1	3	2		1894.36446183037
366750840	234	1	3	2		1634.94833214434
366762720	234	1	3	1	3	536.211177242959
366709440	234	1	2	2		896.067776550258
366710640	234	1	7	2		970.368270545144
366683280	234	1	2	2		1624.84286495479
366730440	234	1	3	2		737.531109443733
366768600	234	1	4	2		2597.21719461837
366755280	234	1	3	2		756.23023237687
366718800	234	1	3	2		606.26388313833
366726840	234	1	5	2		1107.94845092057
366734040	234	1	3	2		1165.06651673214
366756840	234	1	4	2		1769.87252483531
366757920	234	1	3	2		548.733466527924
366757920	234	2	3	2		548.733466527924
366737040	234	1	3	2		1757.02959880071
366694320	234	1	2	2		1759.79983217465
366685680	234	1	3	2		1689.40783888767
366761040	234	1	1			543.370986537154
366686760	234	1	3	2		1689.40783888767
366768000	234	1	3	2		836.671482834568
366723840	234	1	6	2		2030.74464968584
366723840	234	2	2	2		2030.74464968584
366723840	234	3	4	2		2030.74464968584
366688080	234	1	8	1	3	1338.48923676659
366727080	234	1	4	2		2085.24755095315
366673440	234	1	2	2		1612.88616632983
366717960	234	1	3	2		668.405753186344
366713520	234	1	4	2		721.538039606313
366708960	234	1	3	2		850.847676212378
366693480	234	1	2	2		1529.40416296653
366742800	234	1	7	2		2114.97065820821
366671280	234	1	11	2		1770.47013269986
366774120	234	1	7	2		1472.07490565592
366760200	234	1	3	2		654.38123365578
366674160	234	1	4	2		1505.65491330926
366720000	234	1	5	2		2058.71319550911
366714840	234	1	4	2		987.467672180977
366720600	234	1	4	2		1903.41787651076
366703080	234	1	2	2		1207.1654498054
366688920	234	1	2	2		1583.81984895719
366727680	234	1	3	2		1559.32008120762
366737520	234	1	3	2		1757.02959880071
366670560	234	1	3	2		1499.58323854381
366741720	234	1	3	2		3746.31630874128
366761400	234	1	1			893.98234394347
