DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	PERSONA_NUMERO	P6240	P203	P203S1	P5355	P5355S1	P5355S2	P204S1	P204S2	P204S3	P204S4	P204S5	P204S6	P204S7	P204S8	P204S9	P5360	P5360S1	P5361	P5361S1	P5361S2	P272S1	P272S2	P272S3	P272S4	P272S5	P272S6	P272S7	P272S8	P5366	P5366S1	P5367	P5367S1	P5367S2	P206S1	P206S2	P206S3	P206S4	P206S5	P206S6	P206S7	P206S8	P5371	P5371S1	P5372	P5372S1	P5372S2	P207S1	P207S2	P207S3	P207S4	P207S5	P207S6	P207S7	P207S8	P5377	P5377S1	P5378S1	P5378S2	P5378S3	P5378S4	P5378S5	P5378S6	P5378S7	P5378S8	P5378S9	FEX_P
367587360	235	1	5	4	2		2			1	1	2	2	2	2	2	2	2	2		2			2	2	2	2	1	2	2	2	2		2			2	2	2	2	1	2	2	2	2		2			2	2	2	2	1	2	2	2	2		2	2	2	2	2	2	2	2	2	1920.579419
367587360	235	1	6	1	1	500000	2			2	2	2	1	2	2	2	2	2	2		2			2	2	2	2	2	1	2	2	2		2			2	2	2	2	1	2	1	2	2		2			2	2	2	2	1	2	1	2	2		2	2	2	2	1	2	1	2	2	1920.579419
366159000	235	1	1	4	1	200000	2			1	2	2	2	2	2	2	2	2	2		2			1	2	2	2	2	2	2	2	2		2			2	2	2	2	1	2	2	2	2		2			2	2	2	2	1	2	2	2	2		2	2	2	2	2	2	2	2	2	615.76
366145800	235	1	1	4	2		2			1	2	2	2	2	2	2	2	2	2		2			2	2	2	2	1	2	2	2	2		2			2	2	2	2	1	2	2	2	2		2			2	1	2	2	2	2	2	2	2		2	2	2	2	2	2	2	2	2	3442.522222
366145800	235	1	2	1	1	616000	2			2	2	2	1	2	2	2	2	2	2		2			1	2	2	2	2	1	2	2	2		2			2	2	2	2	2	2	1	2	2		2			2	2	2	2	2	2	1	2	2		2	2	2	2	2	2	2	2	2	3442.522222
366145800	235	1	3	4	2		2			2	1	2	2	2	2	2	2	2	2		2			2	2	2	2	1	2	2	2	2		2			2	2	2	2	1	2	2	2	2		2			2	2	2	2	1	2	2	2	2		2	2	2	2	2	2	2	2	2	3442.522222
366154800	235	1	1	4	2		2			1	2	2	2	2	2	2	2	2	2		2			1	2	2	2	2	2	2	2	2		2			1	2	2	2	2	2	2	2	2		2			2	1	2	2	2	2	2	2	2		2	2	2	2	2	2	2	2	2	1773.802952
366151200	235	1	1	1	1	616000	2			2	2	1	2	2	2	2	2	2	2		2			2	2	2	2	2	1	2	2	2		2			2	2	2	2	2	1	2	2	2		2			1	2	2	2	2	2	2	2	2		2	2	2	2	2	2	2	2	2	967.2920149
366156960	235	1	1	5	2		2			2	1	2	2	2	2	2	2	2	2		2			1	2	2	2	2	2	2	2	2		2			2	2	2	2	1	2	2	2	2		2			2	2	2	2	1	2	2	2	2		2	2	2	2	2	2	2	2	2	4035.119998
366156960	235	1	2	4	2		2			1	2	2	2	2	2	2	1	2	2		2			2	2	2	2	1	2	2	2	2		2			2	1	2	2	2	2	2	2	2		2			2	1	2	2	2	2	2	2	2		2	2	2	2	2	2	2	2	2	4035.119998
366158880	235	1	1	1	1	1100000	2			2	2	2	1	2	2	2	2	2	2		2			2	2	2	2	2	1	2	2	2		2			2	1	2	2	2	2	2	2	2		2			2	2	2	2	2	2	1	2	2		2	2	2	2	2	2	2	2	2	1468.568345
366158880	235	1	2	4	2		2			2	1	2	2	2	2	2	2	2	2		2			2	2	2	2	2	1	2	2	2		2			2	2	2	2	2	2	1	2	2		2			2	2	2	2	2	2	1	2	2		2	2	2	2	2	2	2	2	2	1468.568345
366158040	235	1	1	1	1	600000	2			2	1	2	2	2	2	2	2	2	2		2			1	2	2	2	2	2	2	2	2		2			2	1	2	2	1	2	2	2	2		2			2	1	2	2	1	2	2	2	2		2	2	2	2	2	2	2	2	2	5204.002983
366158040	235	1	2	4	2		2			2	1	2	2	2	2	2	2	2	2		2			2	2	1	2	1	2	2	2	2		2			2	2	2	2	1	2	2	2	2		2			2	2	2	2	1	2	2	2	2		2	2	2	2	2	2	2	2	2	5204.002983
366158040	235	1	3	3	2		1	1	1										2		1	2	1									2		1	3	1									2		1	4	1									2		2	1	2	1	1	2	2	2	1	5204.002983
366158040	235	1	4	3	2		2			2	1	2	2	2	2	2	2	2	2		1	4	1									1	20000	2			1	2	2	2	2	2	2	2	2		2			1	2	2	2	2	2	2	2	2		2	2	1	1	1	2	2	2	1	5204.002983
366157680	235	1	1	1	1	600000	2			2	1	2	2	2	2	2	2	2	2		2			1	2	2	2	2	2	2	2	2		2			1	2	2	2	2	2	2	2	2		2			1	2	2	2	2	2	2	2	2		2	2	1	2	2	2	2	2	2	6211.386641
366147720	235	1	1	4	99		2			2	2	2	2	2	1	2	2	2	2		2			2	2	2	1	2	2	2	2	2		2			2	2	2	1	2	2	2	2	2		1	5	2									1	20000	2	2	2	2	1	2	1	2	2	1513.50578
366147720	235	1	2	1	1	400000	1	3	1										2		1	4	1									1	25000	1	4	1									2		1	4	1									2		2	2	1	2	2	2	1	2	2	1513.50578
366160680	235	1	1	1	1	400000	1	5	2										1	30000	2			2	2	2	2	1	2	2	2	2		1	5	1									2		1	3	1									1	5000	2	2	2	2	2	2	2	2	1	460.3127359
366160680	235	1	2	1	1	5000000	2			2	2	2	1	2	2	2	2	2	2		2			2	2	2	2	1	2	2	2	2		2			2	2	2	2	2	2	1	2	2		1	5	1									2		2	2	2	2	2	1	2	2	1	460.3127359
366160680	235	1	3	3	2		1	5	1										2		1	3	2									1	10000	2			2	2	2	2	2	2	1	2	2		1	5	1									2		2	2	2	2	1	2	2	2	2	460.3127359
366612720	235	1	1	2	2		2			2	2	2	1	2	2	2	2	2	2		2			2	2	2	2	1	2	2	2	2		2			2	1	2	2	2	2	2	2	2		2			2	2	1	2	1	2	2	2	2		1	2	2	2	2	2	1	2	2	320.3704974
366612720	235	1	2	1	1	1300000	2			2	2	2	1	2	2	2	2	2	2		2			2	2	1	2	2	1	2	2	2		2			2	2	1	2	2	2	1	2	2		2			2	2	1	2	2	2	1	2	2		2	2	2	2	2	2	1	2	2	320.3704974
366612720	235	1	3	3	2		2			2	2	2	2	2	2	1	2	2	2		2			2	2	1	2	2	2	2	2	2		2			2	2	1	2	2	2	2	2	2		2			2	2	1	2	2	2	2	2	2		2	2	2	2	2	2	1	2	2	320.3704974
366612720	235	1	4	3	2		2			2	2	2	2	2	2	1	2	2	2		2			2	2	1	2	2	2	2	2	2		2			2	2	1	2	2	2	2	2	2		2			2	2	1	2	2	2	2	2	2		2	2	2	2	2	1	1	2	2	320.3704974
366612720	235	1	5	3	2		2			2	1	2	2	2	2	2	2	2	2		2			2	2	1	2	2	2	2	2	2		2			2	2	1	2	1	2	2	2	2		2			2	2	1	2	2	2	2	2	2		2	2	2	2	2	2	1	2	2	320.3704974
366607080	235	1	1	1	1	400000	2			2	2	1	2	2	2	2	2	2	2		1	5	2									2		2			2	2	2	2	1	2	2	2	2		2			2	2	2	2	2	2	1	2	2		2	2	2	2	2	2	2	2	2	723.8884564
366607080	235	1	2	4	1	100000	2			1	1	2	2	2	2	2	2	2	2		2			2	2	2	2	1	2	2	2	2		2			1	2	2	2	1	2	2	2	2		2			2	2	2	2	1	2	2	2	2		2	2	2	2	2	2	2	2	1	723.8884564
366607080	235	1	3	3	2		2			2	2	2	2	2	2	2	2	1	2		2			2	2	2	2	2	2	2	1	2		2			2	2	2	2	1	2	2	2	2		1	5	1									2		2	2	1	2	2	2	2	2	2	723.8884564
366613920	235	1	1	4	2		2			2	2	2	2	2	2	1	2	2	2		2			1	2	2	2	2	2	2	2	2		2			2	2	1	2	2	2	2	2	2		2			2	2	1	2	2	2	2	2	2		2	2	2	2	2	2	2	2	2	400.4631218
