DIRECTORIO	NRO_ENCUESTA	HOGAR_NUMERO	PERSONA_NUMERO	P6020	P5785	P5465	P5501	P6070	P6160	P6170	P260	P261	FEX_P
3064380	235	1	1	1	44	6	1	5	2	2	1		3815.3159500718
3064380	235	1	2	1	17	6	3	6	1	2	4	1	3815.3159500718
3064381	235	1	1	1	68	6	1	1	1	2	3	5	2906.10517617181
3064381	235	1	2	2	41	6	2	1	1	2	3	1	2906.10517617181
3064382	235	1	1	2	48	6	1	6	1	2	3	2	3135.23756838968
3064383	235	1	1	2	27	6	1	6	1	2	4	1	4279.78982175032
3064383	235	1	2	1	5								4279.78982175032
3064383	235	1	3	2	1								4279.78982175032
3064384	235	1	1	2	58	6	1	2	1	2	3	5	2543.1526669636
3064384	235	1	2	1	60	6	2	2	1	2	4	3	2543.1526669636
3064384	235	1	3	1	20	6	4	6	1	2	5	2	2543.1526669636
3064386	235	1	1	2	69	6	1	6	1	2	3	5	2231.4088028486
3064386	235	1	2	2	38	6	3	6	1	2	5	2	2231.4088028486
3064386	235	1	3	2	17	6	4	6	1	1	6	0	2231.4088028486
3064387	235	1	1	2	45	6	1	6	1	2	3	5	2894.0816065305
3064387	235	1	2	2	20	6	3	6	1	2	6	3	2894.0816065305
3064389	235	1	1	1	59	6	1	4	2	2	1		3660.12283263211
3064389	235	1	2	1	33	6	3	6	2	2	1		3660.12283263211
3064390	235	1	1	1	60	6	1	3	1	2	5	2	3286.46326338025
3064390	235	1	2	2	44	6	2	3	2	2	1		3286.46326338025
3064390	235	1	3	1	26	6	3	6	1	1	6	3	3286.46326338025
3064391	235	1	1	2	27	6	1	3	1	2	6	2	3515.59565559812
3064391	235	1	2	1	25	6	2	3	1	2	6	3	3515.59565559812
3064392	235	1	1	2	44	6	1	5	1	2	5	2	4065.51727919728
3064392	235	1	2	1	19	6	3	6	1	2	4	1	4065.51727919728
3064392	235	1	3	2	16	6	3	6	1	1	4	2	4065.51727919728
3064392	235	1	4	2	13	6	3	6	1	2	3	5	4065.51727919728
3064392	235	1	5	1	12	6	3	6	1	2	3	4	4065.51727919728
3064392	235	1	6	2	7								4065.51727919728
3064392	235	2	1	2	75	6	1	5	1	2	1		4065.51727919728
3064392	235	2	2	1	46	6	3	6	1	2	3	3	4065.51727919728
3064392	235	2	3	1	32	6	3	6	1	2	4	3	4065.51727919728
3064392	235	2	4	2	16	1	4	6	1	2	4	2	4065.51727919728
3064392	235	3	1	1	38	6	1	3	1	2	3	5	4065.51727919728
3064392	235	3	2	2	30	6	2	3	1	2	5	2	4065.51727919728
3064392	235	3	3	2	4								4065.51727919728
3064396	235	1	1	1	35	6	1	1	1	2	3	5	6196.45966821128
3064396	235	1	2	2	29	6	2	1	1	2	4	2	6196.45966821128
3064396	235	1	3	2	9								6196.45966821128
3064396	235	1	4	1	4								6196.45966821128
3064397	235	1	1	1	80	6	1	5	2	2	1		3279.76474542368
3064398	235	1	1	1	38	5	1	2	1	2	6	5	794.988631339761
3064398	235	1	2	2	34	5	2	2	1	2	6	5	794.988631339761
3064398	235	1	3	1	16	5	3	6	1	1	5	2	794.988631339761
3064399	235	1	1	1	39	5	1	1	1	2	5	2	653.134179127109
3064399	235	1	2	2	36	5	2	1	1	2	6	5	653.134179127109
3064400	235	1	1	2	48	5	1	6	1	2	5	1	712.055016972365
3064400	235	1	2	2	20	5	3	6	1	1	4	3	712.055016972365
3064400	235	1	3	1	3								712.055016972365
3064400	235	1	4	2	11								712.055016972365
3064401	235	1	1	2	59	5	1	6	1	2	6	10	764.4595183584
3064401	235	1	2	2	4								764.4595183584
3064402	235	1	1	2	42	5	1	3	1	2	6	5	710.942796190069
3064402	235	1	2	1	42	5	2	3	1	1	6	5	710.942796190069
