DIRECTORIO;NRO_ENCUESTA;HOGAR_NUMERO;P6008;P5345;P258;P259;P1700S1;P1700S2;P1700S3;P1700S4;FEX_P
3075387;234;1;1;0;0;1; ; ; ; ;1350,88662111287
3075388;234;1;4;0;0;4; ; ; ; ;1873,19761751148
3075389;234;1;2;0;0;2; ; ; ; ;1168,22500898496
3075390;234;1;2;0;0;2; ; ; ; ;1249,5283888685
3075391;234;1;6;1;0;5;2;2;2;1;1400,79142248093
3075392;234;1;1;0;0;1; ; ; ; ;1802,86119852015
3075393;234;1;1;0;0;1; ; ; ; ;1194,32951508654
3075394;234;1;5;0;0;5; ; ; ; ;1211,79481617122
3075395;234;1;5;1;0;4;1;2;2;1;118,898402604352
3075396;234;1;3;0;0;3; ; ; ; ;153,254512985274
3075397;234;1;5;0;3;2; ; ; ; ;363,355711194339
3075398;234;1;4;0;2;2; ; ; ; ;296,321284731348
3075399;234;1;4;0;0;4; ; ; ; ;121,206870895425
3075400;234;1;2;0;0;2; ; ; ; ;184,759259565428
3075401;234;1;2;0;0;2; ; ; ; ;102,416826039885
3075403;234;1;4;0;0;4; ; ; ; ;161,554969951211
3075405;234;1;2;0;0;2; ; ; ; ;102,416826039885
3075406;234;1;5;0;0;5; ; ; ; ;1781,48075787589
3075407;234;1;6;0;0;6; ; ; ; ;1003,13489399835
3075408;234;1;1;0;0;1; ; ; ; ;1595,12933418415
3075409;234;1;4;0;0;4; ; ; ; ;1819,92582977993
3075410;234;1;7;1;2;4;1;3;1;1;2123,37448682699
3075411;234;1;5;1;1;3;7;1;7;1;1811,99019890659
3075412;234;1;1;0;0;1; ; ; ; ;1219,7066679984
3075413;234;1;3;1;0;2;3;4;3;1;1546,37203614784
3075415;234;1;3;0;0;3; ; ; ; ;860,156003698962
3075416;234;1;4;0;0;4; ; ; ; ;1561,61172376842
3075417;234;1;4;0;0;4; ; ; ; ;1322,01661051161
3075418;234;1;1;0;0;1; ; ; ; ;1219,7066679984
3075419;234;1;6;0;1;5; ; ; ; ;2208,51297080669
3075420;234;1;1;0;0;1; ; ; ; ;1219,7066679984
3075421;234;1;4;0;1;3; ; ; ; ;1620,68859671239
3075422;234;1;4;0;2;2; ; ; ; ;2037,33426820118
3075423;234;1;2;0;0;2; ; ; ; ;1439,57570210587
3075424;234;1;3;0;0;3; ; ; ; ;1526,01364273277
3075425;234;1;3;0;1;2; ; ; ; ;1738,45498515353
3075426;234;1;6;1;1;4;1;2;2;1;1188,73418013364
3075427;234;1;8;1;0;7;2;7;7;1;1404,61432821897
3075428;234;1;2;0;0;2; ; ; ; ;1346,81355641148
3075429;234;1;2;0;0;2; ; ; ; ;898,601075603
3075430;234;1;4;0;0;4; ; ; ; ;1839,4719548376
3075430;234;2;4;0;0;4; ; ; ; ;1839,4719548376
3075431;234;1;6;0;2;4; ; ; ; ;1843,33556421887
3075432;234;1;7;1;0;6;1;2;2;1;2140,26699286189
3075433;234;1;4;0;1;3; ; ; ; ;1620,68859671239
3075434;234;1;2;0;1;1; ; ; ; ;2059,56057754892
3075435;234;1;3;0;1;2; ; ; ; ;1697,78603736735
3075436;234;1;4;0;0;4; ; ; ; ;2642,41785564273
3075437;234;1;12;3;2;7;1;5;5;2;2156,23013368929
3075438;234;1;9;1;1;7;2;7;7;1;1662,82466348045
3075439;234;1;4;1;1;2;1;1;1;1;1845,2513191955
3075440;234;1;5;0;0;5; ; ; ; ;1906,36377040683
3075441;234;1;4;0;0;4; ; ; ; ;1487,56857082873
3075442;234;1;8;1;1;6;4;4;3;3;1408,32808590253
3075443;234;1;2;0;0;2; ; ; ; ;1439,57570210587
3075444;234;1;10;1;3;6;2;2;1;1;1308,96839664149
3075445;234;1;3;0;0;3; ; ; ; ;1192,51326265015
3075446;234;1;5;0;2;3; ; ; ; ;2123,77220882809
3075447;234;1;7;2;3;2;2;2;4;1;1984,19692507458
3075448;234;1;6;0;0;6; ; ; ; ;2074,13960660609
3075449;234;1;6;2;0;4;2;2;2;1;1744,99755927873
3075450;234;1;6;0;1;5; ; ; ; ;2001,03872438645
3075451;234;1;4;1;0;3;3;2;3;1;1840,284223195
3075452;234;1;6;0;0;6; ; ; ; ;1010,90934635506
3075453;234;1;6;1;1;4;2;2;2;1;2103,88580691848
3075454;234;1;5;1;1;3;1;2;2;1;2182,9998266087
3075455;234;1;2;0;0;2; ; ; ; ;1274,02374178875
3075456;234;1;6;1;2;3;1;2;1;1;1360,50657476821
3075457;234;1;5;0;0;5; ; ; ; ;1855,52391081557
3075458;234;1;7;1;2;4;1;2;2;1;1541,72324012476
3075459;234;1;4;0;0;4; ; ; ; ;1362,68555829779
3075460;234;1;4;0;0;4; ; ; ; ;1394,80642513435
3075461;234;1;5;0;0;5; ; ; ; ;1250,6770431781
3075462;234;1;6;1;0;5;1;1;1;1;1597,35969388434
3075463;234;1;7;0;3;4; ; ; ; ;1923,70456392742
3075464;234;1;8;2;1;5;2;4;3;2;1514,15388237931
3075465;234;1;6;0;1;5; ; ; ; ;1745,60632252398
3075466;234;1;6;1;0;5;1;1;2;1;1961,0669065406
3075467;234;1;6;2;0;4;2;1;2;1;1911,8028579128
3075468;234;1;4;0;0;4; ; ; ; ;1986,731128414
3075469;234;1;3;0;0;3; ; ; ; ;1473,92044482457
3075470;234;1;4;0;0;4; ; ; ; ;1653,12053114586
3075471;234;1;4;0;1;3; ; ; ; ;1995,69699621431
3075472;234;1;5;0;1;4; ; ; ; ;2298,17034917271
3075473;234;1;2;0;0;2; ; ; ; ;1417,91458448575
3075474;234;1;2;0;0;2; ; ; ; ;1727,97912861646
3075475;234;1;2;0;0;2; ; ; ; ;1727,97912861646
3075476;234;1;6;0;0;6; ; ; ; ;1131,31202022562
3075477;234;1;2;0;0;2; ; ; ; ;2022,87904336945
3075477;234;2;3;0;1;2; ; ; ; ;2022,87904336945
3075477;234;3;5;1;2;2;2;2;7;1;2022,87904336945
3075478;234;1;1;0;0;1; ; ; ; ;1575,40774945252
3075479;234;1;3;1;0;2;1;4;1;1;1856,17095344882
3075480;234;1;4;0;0;4; ; ; ; ;1053,27153310792
3075480;234;2;2;0;0;2; ; ; ; ;1053,27153310792
3075481;234;1;2;0;0;2; ; ; ; ;1417,91458448575
3075482;234;1;4;0;1;3; ; ; ; ;2928,72043349
3075483;234;1;2;0;0;2; ; ; ; ;980,421687665723
3075484;234;1;3;1;0;2;1;7;1;1;1908,78940662017
3075485;234;1;2;0;0;2; ; ; ; ;1727,97912861646
3075486;234;1;9;1;2;6;1;7;7;1;980,421687665723
3075487;234;1;3;0;1;2; ; ; ; ;2330,8116592539
3075488;234;1;2;0;0;2; ; ; ; ;1679,16259687415
3075489;234;1;1;0;0;1; ; ; ; ;1914,69624895861
3075490;234;1;5;0;0;5; ; ; ; ;980,421687665723
3075491;234;1;4;0;0;4; ; ; ; ;1185,05033777076
3075492;234;1;3;0;0;3; ; ; ; ;2080,7734444142
3075493;234;1;2;0;0;2; ; ; ; ;2466,20907029313
3075494;234;1;4;1;1;2;6;2;4;2;2022,43146395706
3075495;234;1;6;0;1;5; ; ; ; ;2401,92519659434
3075496;234;1;1;0;0;1; ; ; ; ;1464,06171085858
3075497;234;1;4;1;1;2;1;2;2;1;2022,43146395706
3075498;234;1;5;1;2;2;2;2;2;1;2034,63853638028
3075499;234;1;5;1;0;4;2;2;3;1;2063,68064829208
3075500;234;1;5;0;2;3; ; ; ; ;2308,05755908797
3075501;234;1;2;0;0;2; ; ; ; ;2217,16960191701
3075502;234;1;1;0;0;1; ; ; ; ;1914,69624895861
3075503;234;1;4;1;0;3;7;2;2;2;1959,92580087045
3075504;234;1;6;0;1;5; ; ; ; ;1807,72427130388
3075505;234;1;2;0;0;2; ; ; ; ;1727,97912861646
3075506;234;1;6;1;1;4;2;4;3;1;2671,47663244344
3075507;234;1;1;0;0;1; ; ; ; ;1464,06171085858
3075508;234;1;5;0;0;5; ; ; ; ;1438,70715898685
3075509;234;1;4;0;0;4; ; ; ; ;2184,52829183583
3075510;234;1;1;0;0;1; ; ; ; ;1464,06171085858
3075511;234;1;4;0;0;4; ; ; ; ;1524,33883727686
3075512;234;1;4;2;0;2;1;2;2;2;2184,58571491499
3075513;234;1;5;0;1;4; ; ; ; ;1986,60137394497
3075514;234;1;2;0;0;2; ; ; ; ;1529,26062307969
3075515;234;1;1;0;0;1; ; ; ; ;2313,63769112919
3075516;234;1;4;0;1;3; ; ; ; ;2439,52996018945
3075517;234;1;3;0;1;2; ; ; ; ;1627,65606967141
3075518;234;1;1;0;0;1; ; ; ; ;1167,07681242243
3075519;234;1;2;0;0;2; ; ; ; ;1130,29063001617
3075520;234;1;2;0;1;1; ; ; ; ;1346,42607610746
3075521;234;1;2;0;0;2; ; ; ; ;1130,29063001617
3075522;234;1;2;0;0;2; ; ; ; ;1448,30680598638
3075523;234;1;1;0;0;1; ; ; ; ;1255,8363085791
3075524;234;1;2;0;0;2; ; ; ; ;1288,6990893667
3075526;234;1;1;0;0;1; ; ; ; ;1255,8363085791
3075527;234;1;3;0;0;3; ; ; ; ;1141,05679165397
3075528;234;1;1;0;0;1; ; ; ; ;1255,8363085791
3075529;234;1;6;0;3;3; ; ; ; ;2602,47386289139
3075529;234;2;1;0;0;1; ; ; ; ;2602,47386289139
3075530;234;1;4;1;1;2;1;7;7;1;1570,23646793402
3075532;234;1;2;0;1;1; ; ; ; ;1346,42607610746
3075533;234;1;7;1;0;6;1;1;1;1;781,543161455751
3075534;234;1;6;0;0;6; ; ; ; ;2303,85674422719
3075535;234;1;5;0;1;4; ; ; ; ;1831,98652462766
3075536;234;1;4;2;0;2;1;2;3;1;1665,7244165887
3075537;234;1;4;0;2;2; ; ; ; ;1748,59166315134
3075538;234;1;4;0;0;4; ; ; ; ;1277,46994155214
3075539;234;1;4;0;2;2; ; ; ; ;1716,49303611331
3075540;234;1;5;0;3;2; ; ; ; ;1654,58541432949
3075541;234;1;2;0;0;2; ; ; ; ;1155,93547574284
3075542;234;1;5;1;1;3;1;7;1;1;1835,98908216279
3075543;234;1;3;1;0;2;2;7;7;1;1364,83497984299
3075544;234;1;5;2;0;3;1;1;3;1;1412,93814792977
3075545;234;1;4;0;0;4; ; ; ; ;954,526258856704
3075546;234;1;7;2;1;4;1;1;2;1;1686,12753822969
3075547;234;1;5;1;0;4;1;3;7;1;1073,93147349863
3075548;234;1;2;0;0;2; ; ; ; ;1108,288365443
3075549;234;1;3;1;0;2;1;7;7;1;1227,62756930394
3075550;234;1;5;1;0;4;3;7;7;1;1822,97598816882
3075551;234;1;2;0;0;2; ; ; ; ;935,858290378106
3075552;234;1;2;0;0;2; ; ; ; ;1067,01736222416
3075553;234;1;4;0;1;3; ; ; ; ;1445,77727684592
3075554;234;1;5;0;0;5; ; ; ; ;647,102282822794
3075555;234;1;3;0;0;3; ; ; ; ;1208,98920569621
3075556;234;1;3;1;0;2;1;1;5;1;1357,27024136273
3075557;234;1;4;0;0;4; ; ; ; ;1309,69004594942
3075558;234;1;4;0;2;2; ; ; ; ;1614,0846121397
3075559;234;1;4;0;0;4; ; ; ; ;1606,21421664636
3075560;234;1;5;0;1;4; ; ; ; ;857,16873069141
3075561;234;1;1;0;0;1; ; ; ; ;966,316521970951
3075562;234;1;3;0;2;1; ; ; ; ;1351,6022368554
3075563;234;1;1;0;0;1; ; ; ; ;1039,80762958706
3075564;234;1;4;0;1;3; ; ; ; ;1448,36787936194
3075565;234;1;5;1;1;3;1;7;7;1;1694,75915276565
3075566;234;1;3;0;0;3; ; ; ; ;1505,51337639315
3075567;234;1;6;1;0;5;1;7;7;1;1334,13080942297
3075568;234;1;1;0;0;1; ; ; ; ;1527,05743904863
3075569;234;1;3;0;1;2; ; ; ; ;1345,07643659271
3075570;234;1;2;0;0;2; ; ; ; ;1067,01736222416
3075571;234;1;4;1;1;2;6;2;4;1;1819,51341676539
3075572;234;1;3;0;1;2; ; ; ; ;1377,29654098999
3075573;234;1;4;1;1;2;2;1;1;1;1467,00624296967
3075574;234;1;4;0;2;2; ; ; ; ;1452,30307710861
3075575;234;1;2;0;0;2; ; ; ; ;1386,23668273735
3075576;234;1;4;1;0;3;1;2;2;1;1210,77376218155
3075577;234;1;3;0;0;3; ; ; ; ;1742,37013177077
3075578;234;1;6;0;1;5; ; ; ; ;987,851897451996
3075579;234;1;4;0;0;4; ; ; ; ;1916,34702786877
3075580;234;1;1;0;0;1; ; ; ; ;1812,21891139136
3075581;234;1;2;0;0;2; ; ; ; ;1439,85472178788
3075582;234;1;4;0;0;4; ; ; ; ;878,824655807779
3075583;234;1;1;0;0;1; ; ; ; ;1255,40919699664
3075584;234;1;3;0;0;3; ; ; ; ;1400,28430857801
3075585;234;1;2;0;0;2; ; ; ; ;1020,38181657509
3075586;234;1;2;0;1;1; ; ; ; ;1448,33284410212
3075587;234;1;2;0;0;2; ; ; ; ;924,904392458861
3075588;234;1;5;0;0;5; ; ; ; ;1696,29039511968
3075589;234;1;2;0;0;2; ; ; ; ;1859,32762700068
3075590;234;1;3;0;0;3; ; ; ; ;1013,87249313387
3075591;234;1;2;0;0;2; ; ; ; ;1439,85472178788
3075592;234;1;7;1;1;5;1;2;2;2;1750,06144885082
3075593;234;1;4;0;2;2; ; ; ; ;1886,78822970956
3075594;234;1;1;0;0;1; ; ; ; ;1255,40919699664
3075595;234;1;1;0;0;1; ; ; ; ;1812,21891139136
3075596;234;1;6;1;2;3;3;3;3;1;1395,83737762328
3075597;234;1;3;0;0;3; ; ; ; ;642,648856331411
3075598;234;1;2;0;0;2; ; ; ; ;963,620617749356
3075599;234;1;1;0;0;1; ; ; ; ;1212,82479438177
3075600;234;1;3;1;0;2;2;7;7;1;1095,39649738793
3075601;234;1;4;1;1;2;2;3;1;2;1130,41609778443
3075602;234;1;6;0;1;5; ; ; ; ;1235,47599215903
3075603;234;1;5;1;2;2;2;2;2;1;1225,82797519375
3075604;234;1;2;1;0;1;1;7;7;1;1007,84039834516
3075605;234;1;1;0;0;1; ; ; ; ;840,180726313822
3075606;234;1;2;0;0;2; ; ; ; ;618,990880492178
3075607;234;1;2;0;0;2; ; ; ; ;813,698286492017
3075608;234;1;7;2;1;4;1;1;3;1;1149,29521852299
3075609;234;1;3;0;0;3; ; ; ; ;592,508440670373
3075610;234;1;1;0;0;1; ; ; ; ;904,078849517358
3075611;234;1;3;0;0;3; ; ; ; ;1388,81076331375
3075612;234;1;1;0;0;1; ; ; ; ;1731,39185531417
3075613;234;1;1;0;0;1; ; ; ; ;1674,11919986086
3075614;234;1;4;0;0;4; ; ; ; ;1367,47626522103
3075615;234;1;4;1;1;2;4;1;2;1;1730,55486502688
3075618;234;1;3;0;1;2; ; ; ; ;1938,28512339255
3075619;234;1;2;1;0;1;1;1;1;1;2227,1541450385
3075620;234;1;4;0;0;4; ; ; ; ;1820,71456061328
3075621;234;1;2;0;0;2; ; ; ; ;1823,52383820217
3075622;234;1;5;0;0;5; ; ; ; ;1918,68962013793
3075623;234;1;2;0;0;2; ; ; ; ;1528,54344326898
3075624;234;1;1;0;0;1; ; ; ; ;1792,51738172338
3075625;234;1;2;0;0;2; ; ; ; ;1585,81609872229
3075626;234;1;1;0;0;1; ; ; ; ;2030,22512120326
3075627;234;1;1;0;0;1; ; ; ; ;1674,11919986086
3075628;234;1;4;0;0;4; ; ; ; ;1057,86822181351
3075629;234;1;4;0;0;4; ; ; ; ;1544,05847829171
3075630;234;1;1;0;0;1; ; ; ; ;1955,47350733459
3075631;234;1;2;0;0;2; ; ; ; ;1884,64936461138
3075632;234;1;5;1;2;2;3;7;7;1;3156,34923506446
3075633;234;1;2;0;0;2; ; ; ; ;1646,9416251315
3075635;234;1;6;0;0;6; ; ; ; ;1057,04914990535
3075636;234;1;2;0;0;2; ; ; ; ;2122,35710409126
3075641;234;1;2;0;0;2; ; ; ; ;633,574320721461
3075642;234;1;1;0;0;1; ; ; ; ;533,948110106931
3075643;234;1;4;0;0;4; ; ; ; ;353,188879310521
3075644;234;1;2;0;0;2; ; ; ; ;494,48946764142
3075648;234;1;2;0;0;2; ; ; ; ;633,435348432699
3075649;234;1;3;1;0;2;2;3;3;1;594,580269975006
3075650;234;1;3;0;0;3; ; ; ; ;486,57557135166
3075651;234;1;3;0;1;2; ; ; ; ;746,730381849966
