DIRECTORIO;NRO_ENCUESTA;REGION;P4090;P4000;P4031S1;P4031S1A1;P4031S2;P4031S3;P4031S4;P4031S4A1;P4031S5;P70;FEX_P
3075387;233;2;1;2;1;3;1;1;1;3;1;1;1350,88662111287
3075388;233;2;1;1;1;2;1;1;1;3;1;1;1873,19761751148
3075389;233;4;1;2;1;1;1;1;1;3;1;1;1168,22500898496
3075390;233;4;1;2;1;1;1;1;1;3;1;1;1249,5283888685
3075391;233;3;1;1;1;2;1;1;1;3;1;1;1400,79142248093
3075392;233;3;1;1;1;2;2;1;1;3;1;1;1802,86119852015
3075393;233;3;1;1;1;2;1;1;1;3;1;1;1194,32951508654
3075394;233;3;1;1;1;2;1;1;1;3;1;1;1211,79481617122
3075395;233;6;1;1;1;1;2;1;1;3;1;1;118,898402604352
3075396;233;6;1;1;1;1;2;1;1;3;1;1;153,254512985274
3075397;233;6;1;1;1;1;2;1;1;3;1;1;363,355711194339
3075398;233;6;1;1;1;1;2;1;1;3;1;1;296,321284731348
3075399;233;6;1;1;1;1;2;1;1;3;1;1;121,206870895425
3075400;233;6;1;1;1;1;2;1;2; ;1;1;184,759259565428
3075401;233;6;1;1;1;1;2;1;2; ;1;1;102,416826039885
3075403;233;6;1;1;1;1;2;1;1;3;1;1;161,554969951211
3075405;233;6;1;1;1;1;2;1;1;3;1;1;102,416826039885
3075406;233;2;1;2;1;3;1;1;1;3;1;1;1781,48075787589
3075407;233;2;1;2;1;3;1;1;1;3;1;1;1003,13489399835
3075408;233;2;1;2;1;3;1;1;1;3;1;1;1595,12933418415
3075409;233;2;1;2;1;1;2;1;1;2;1;1;1819,92582977993
3075410;233;2;1;2;1;1;1;1;1;3;1;1;2123,37448682699
3075411;233;2;1;2;1;3;1;1;1;3;1;1;1811,99019890659
3075412;233;2;1;1;1;3;1;1;1;3;1;1;1219,7066679984
3075413;233;2;1;2;1;3;1;1;1;3;1;1;1546,37203614784
3075415;233;2;1;2;1;3;1;1;1;3;1;1;860,156003698962
3075416;233;2;1;1;1;1;1;1;1;3;1;1;1561,61172376842
3075417;233;2;1;2;1;3;1;1;1;3;1;1;1322,01661051161
3075418;233;2;1;2;1;3;1;1;1;3;1;1;1219,7066679984
3075419;233;2;1;2;1;1;1;1;1;3;1;1;2208,51297080669
3075420;233;2;1;2;1;1;1;1;1;3;1;1;1219,7066679984
3075421;233;2;1;2;1;1;1;1;1;3;1;1;1620,68859671239
3075422;233;2;1;2;1;2;1;1;1;3;1;1;2037,33426820118
3075423;233;2;1;2;1;2;1;1;1;3;1;1;1439,57570210587
3075424;233;2;1;2;1;1;1;1;1;3;1;1;1526,01364273277
3075425;233;2;1;2;1;1;1;1;1;3;1;1;1738,45498515353
3075426;233;2;1;2;1;2;1;1;1;3;1;1;1188,73418013364
3075427;233;2;1;1;1;1;1;1;1;3;1;1;1404,61432821897
3075428;233;2;1;2;1;2;1;1;1;3;1;1;1346,81355641148
3075429;233;2;1;1;1;2;1;1;1;3;1;1;898,601075603
3075430;233;2;1;1;1;2;1;1;1;3;1;2;1839,4719548376
3075431;233;2;1;1;1;2;1;1;1;3;1;1;1843,33556421887
3075432;233;2;1;1;1;2;1;1;1;3;1;1;2140,26699286189
3075433;233;2;1;2;1;2;1;1;1;3;1;1;1620,68859671239
3075434;233;2;1;2;1;2;1;1;1;3;1;1;2059,56057754892
3075435;233;2;1;2;1;2;1;1;1;3;1;1;1697,78603736735
3075436;233;2;1;1;1;1;1;1;1;3;1;1;2642,41785564273
3075437;233;2;1;2;1;1;1;1;1;3;1;1;2156,23013368929
3075438;233;2;1;2;1;2;1;1;1;3;1;1;1662,82466348045
