Directorio	Nro_encuesta	Region	Viviendanmero	Tamano1	tamano2	P4000	P4031s1	P4031s1a1	P4031s2	P4031s3	P4031s4	P4031s4a1	P4031s5
303915700	207	4	1234	1	1	1	1	2	1	1	1	2	1
303915800	207	4	1200	1	1	1	1	2	2	1	1	2	1
303915900	207	4	1199	1	1	1	1	2	1	1	1	2	1
303916000	207	4	768	1	2	1	1	3	1	1	1	3	1
303916100	207	4	1049	1	1	1	1	3	2	1	1	2	1
303916200	207	4	1048	1	1	1	1	3	1	1	1	2	1
303916300	207	4	1047	1	1	2	1	3	1	1	1	2	1
303916400	207	4	1046	1	1	1	1	4	1	1	1	2	1
303916500	207	4	767	1	2	1	1	3	1	1	1	3	1
303916800	207	4	1045	1	1	1	1	3	1	1	1	2	1
303916900	207	4	1044	1	1	1	1	3	1	1	1	2	1
303917000	207	2	1421	1	2	1	1	3	1	1	1	3	1
303917100	207	2	1420	1	2	1	1	3	1	1	1	3	1
303917200	207	2	1419	1	2	1	1	3	1	1	1	3	1
303917300	207	2	1418	1	2	1	1	3	1	1	1	3	1
303917400	207	2	1417	1	2	1	2		2	1	1	3	1
303917500	207	2	1416	1	2	2	1	3	1	1	1	3	1
303917600	207	2	1415	1	2	1	1	3	1	1	1	3	1
303917800	207	2	1439	1	2	1	1	3	1	1	1	3	1
303917900	207	2	1438	1	2	1	1	3	1	1	1	3	1
303918000	207	2	1437	1	2	2	1	3	1	1	1	3	1
303918100	207	2	1280	1	2	1	1	4	1	1	1	2	1
303918300	207	2	1279	1	2	1	1	4	1	1	1	2	1
303918400	207	2	1278	1	2	1	1	4	1	1	1	3	1
303918500	207	2	1277	1	2	1	1	4	1	1	1	3	1
303918600	207	2	1276	1	2	1	1	4	1	1	1	3	1
303918700	207	2	1275	1	2	1	1	4	1	1	1	3	1
303918800	207	2	1274	1	2	2	1	4	1	1	1	3	1
303918900	207	2	1273	1	2	1	1	3	1	1	1	3	1
303919000	207	2	1272	1	2	1	1	3	1	1	1	3	1
303919100	207	2	1271	1	2	1	1	3	1	1	1	3	1
303919200	207	2	1270	1	2	1	1	3	1	1	1	3	1
303919300	207	4	790	1	2	1	1	3	1	1	1	3	1
303919400	207	4	789	1	2	2	1	3	1	1	1	3	1
303919500	207	4	788	1	2	1	1	3	1	1	1	3	1
303919600	207	4	787	1	2	1	1	3	1	1	1	3	1
303919700	207	4	786	1	2	1	1	3	1	1	1	3	1
303919800	207	4	785	1	2	1	1	3	1	1	1	3	1
303919900	207	4	784	1	2	2	1	3	1	1	1	3	1
303920000	207	4	783	1	2	1	1	3	1	1	1	2	1
303920100	207	4	782	1	2	1	1	3	1	1	1	3	1
303920200	207	4	781	1	2	2	1	3	1	1	1	3	1
303920300	207	4	780	1	2	2	1	3	1	1	1	3	1
303920400	207	4	779	1	2	1	1	3	1	1	1	3	1
303920500	207	4	778	1	2	1	1	3	1	1	1	2	1
303920600	207	4	777	1	2	1	1	3	1	1	1	2	1
303920700	207	4	776	1	2	2	1	3	1	1	1	3	1
303920800	207	4	775	1	2	2	1	3	1	1	1	3	1
303920900	207	4	774	1	2	1	1	3	1	1	1	3	1
303921000	207	4	773	1	2	2	1	3	1	1	1	3	1
303921100	207	4	772	1	2	1	1	3	1	1	1	3	1
303921200	207	4	771	1	2	1	1	3	1	1	1	3	1
303921300	207	4	770	1	2	2	1	2	1	1	1	3	1
303921400	207	4	769	1	2	1	1	2	1	1	1	3	1
303921500	207	3	814	1	1	1	1	3	1	1	1	3	1
303921600	207	3	813	1	1	1	1	3	2	1	1	3	1
303921700	207	3	812	1	1	1	1	3	2	1	1	3	1
303921800	207	3	811	1	1	1	1	3	1	1	1	3	1
303921900	207	3	810	1	1	1	1	3	1	1	1	3	1
303922000	207	3	809	1	1	1	1	3	1	1	1	3	1
303922100	207	3	808	1	1	1	1	3	1	1	1	3	1
303922200	207	3	807	1	1	1	1	3	1	1	1	3	1
303922300	207	3	806	1	1	1	1	3	2	1	1	3	1
303922400	207	3	805	1	1	1	1	3	1	1	1	3	1
303922500	207	3	804	1	1	1	1	3	2	1	1	3	1
303922600	207	3	803	1	1	1	1	3	1	1	1	3	1
303922700	207	3	802	1	1	1	1	3	1	1	1	3	1
303922800	207	3	801	1	1	1	1	3	1	1	1	2	1
303922900	207	3	800	1	1	1	1	3	1	1	1	3	1
303923000	207	3	799	1	1	1	1	2	2	1	1	3	1
